Doculect,Concept,Segments
bora1263,FEAR (BE AFRAID),"['i', 'tʃ', 'i']"
muin1242,FEAR (BE AFRAID),"['!í/i', 'g', 'i', '+', 'ʔ', 'i']"
bora1263,SQUEEZE,"['a', 'a', 'm', '!ɯ́/ɯ', '+', 'tsʰ', '!ó/o']"
muin1242,SQUEEZE,"['!á/a', '!á/a', 'm', '!ɨ́/ɨ', '+', 's', 'u', '+', 'ʔ', 'i']"
bora1263,HOLD,"['i', 'h', 'kʰʲ', 'a']"
muin1242,HOLD,"['i', 'k', 'k', 'a', '+', 'ʔ', 'i']"
bora1263,DUST,"['tʃ', '!í/i', 'hʲ', 'ɯ', '!ɯ́/ɯ']"
muin1242,DUST,"['g', '!í/i', 'i', 'h', 'ɨ']"
bora1263,BE ALIVE,"['p', '!ó/o', 'ʔ', '!ɨ́/ɨ', '!ɨ́/ɨ', '+', 'p', 'e']"
muin1242,BE ALIVE,"['b', '!ú/u', 'ʔ', '!é/e', 'e', '+', 'n', 'o']"
bora1263,ROPE,"['kʷ', '!á/a', '!á/a', 'pʲ', 'a', '+', 'ɯ']"
muin1242,ROPE,"['g', '!á/a', 'a', 'i', 'b', 'a', '+', 'ɨ']"
bora1263,YEAR,"['pʰ', '!í/i', 'h', 'kʰʲ', 'a', 'p', 'a']"
muin1242,YEAR,"['ɸ', 'i', 'k', '!á/a', 'b', 'a']"
bora1263,PUSH,"['kʰ', '!á/a', 'β', '!ɯ́/ɯ', 'i', '+', 'ʔ', 'hʲ', '!á/a', 'kʰ', 'o']"
muin1242,PUSH,"['k', '!á/a', 'b', '!ú/u', 'j', 'a', 'a', 'k', 'u', '+', 'ʔ', 'i']"
bora1263,HUNT,"['tʰ', 'a', 'a', 'β', 'a']"
muin1242,HUNT,"['t', '!á/a', '!á/a', 'β', 'a', '+', 'ʔ', 'i']"
bora1263,CUT,"['+', 'β', 'ɯ', 'r', 'ɯ', '+']"
muin1242,CUT,"['g', '!á/a', 'β', 'ɨ', 'r', '!ɨ́/ɨ', '!ɨ́/ɨ', 'k', 'u', '+', 'ʔ', 'i']"
bora1263,TONGUE,"['n', 'ɨ', 'ɨ', 'x', 'ɨ', 'kʷ', 'a']"
bora1263,TONGUE,"['m', 'e', 'ʔ', '+', 'n', 'ɨ', 'x', 'ɨ', 'kʷ', 'a']"
bora1263,MOUTH,"['i', 'ʔ', 'xʲ', 'ɯ', 'ɯ']"
bora1263,MOUTH,"['a', 'm', 'e', 'x', 'ɯ']"
bora1263,TOOTH,"['i', 'ʔ', 'kʷ', 'a', 'x', 'ɨ', 'ɨ']"
bora1263,TOOTH,"['m', 'e', 'ʔ', 'kʷ', 'a', 'x', 'ɨ', 'ɨ']"
bora1263,TOOTH,"['i', 'ʔ', 'kʷ', 'a', 'nʲ', 'e', 'e']"
bora1263,NOSE,"['tʰ', 'ɯ', 'x', 'ɯ', 'ʔ', 'o']"
bora1263,NOSE,"['tʰ', 'ɯ', 'ɯ', 'ʔ', 'e', 'x', 'ɯ']"
bora1263,EYE,"['ʔ', 'a', 'tʃ', 'ɯ', 'ɯ']"
bora1263,EYE,"['m', 'e', 'ʔ', 'a', 'tʃ', 'ɯ', 'ɯ']"
bora1263,EAR,"['n', 'ɯ', 'ɯ', 'm', 'ɨ', 'ʔ', 'o']"
bora1263,HEAD,"['n', 'i', 'i', 'kʷ', 'a', 'ɯ']"
bora1263,NECK,"['kʰ', 'e', 'x', 'tʰ', 'ɯ', 'ʔ', 'i']"
bora1263,NECK,"['m', 'e', 'kʰ', 'e', 'x', 'tʰ', 'ɯ', 'ʔ', 'i']"
bora1263,BELLY,"['i', 'ʔ', 'p', 'a', 'ɯ']"
bora1263,BELLY,"['m', 'e', 'ʔ', 'p', 'a', 'ɯ', 'ɯ']"
bora1263,BELLY,"['m', 'a', 'a', 'a', 'm', 'ɨ', 'ʔ', 'o']"
bora1263,BACK,"['m', 'a', 'ʔ', 'a', 'tʃ', 'ɯ']"
bora1263,HAND,"['ʔ', 'o', 'x', 'tsʰ', 'ɨ', 'ɨ']"
bora1263,HAND,"['m', 'e', 'ʔ', 'o', 'x', 'tsʰ', 'ɨ', 'ɨ']"
bora1263,LEG,"['tʰ', 'a', 'x', 'kʰ', 'iː']"
bora1263,LEG,"['m', 'e', 'tʰ', 'a', 'x', 'kʰ', 'iː']"
bora1263,FOOT,"['x', 'tʰ', 'ɯ', 'ʔ', 'a', 'a']"
bora1263,FOOT,"['m', 'e', 'x', 'tʰ', 'ɯ', 'ʔ', 'a', 'a']"
bora1263,BONE,"['p', 'a', 'x', 'kʰ', 'ɯ', 'ɯ']"
bora1263,BLOOD,"['tʰ', 'ɯ', 'x', 'pʰ', 'a', 'kʲʰ', 'o']"
bora1263,HEART,"['ɨ', 'ɨ', 'p', 'ɯ', 'ɯ']"
bora1263,HEART,"['m', 'e', 'ɨ', 'ɨ', 'p', 'ɯ', 'ɯ']"
bora1263,WOMAN,"['kʷ', 'a', 'tʃ', 'e']"
bora1263,HUSBAND,"['tʰ', 'a', 'x', 'ɨ']"
bora1263,HUSBAND,"['a', 'xʲ', 'ɯ', 'ɯ', 'i']"
bora1263,WIFE,"['tʰ', 'a', 'a', 'p', 'a']"
bora1263,WIFE,"['a', 'tʲʰ', 'a', 'a', 'p', 'a', 'a']"
bora1263,WIFE,"['m', 'e', 'kʷ', 'a']"
bora1263,FATHER,"['tʃ', 'i', 'ʔ', 'i', 'j', 'o']"
bora1263,FATHER,"['tʃ', 'i', 'ʔ', 'i', 'ɯ']"
bora1263,MOTHER,"['kʷ', 'a', 'ʔ', 'a', 'r', 'o']"
bora1263,MOTHER,"['kʷ', 'a', 'ʔ', 'a', 'ɯ']"
bora1263,OLD,"['kʰ', 'e', 'e', 'm', 'e']"
bora1263,WATER,"['n', 'ɯ', 'x', 'pʰ', 'a', 'kʲʰ', 'o']"
bora1263,RIVER,"['tʰ', 'e', 'e', 'ʔ', 'i']"
bora1263,RIVER,"['m', 'o', 'o', 'a']"
bora1263,LAKE,"['ɯ', 'n', 'e', 'ɯ']"
bora1263,FIRE,"['kʰ', 'ɯ', 'ɯ', 'x', 'ɯ', 'kʷ', 'a']"
bora1263,THEY,"['a', 'a', 'tʲʰ', 'e']"
bora1263,THEY,"['t', 'i', 'i', 'tʲʰ', 'e']"
bora1263,THEY,"['aː', 'tʲʰ', 'e', 'tsʰ', 'i']"
bora1263,THEY,"['t', 'iː', 'tʲʰ', 'e', 'tsʰ', 'i']"
bora1263,THEY,"['aː', 'tʲʰ', 'e', 'pʰ', 'ɨ']"
bora1263,THEY,"['t', 'iː', 'tʲʰ', 'e', 'pʰ', 'ɨ']"
bora1263,CLOUD,"['β', 'aː', 'ɯ', 'm', 'e', 'i', 'tʰ', 'j', 'ɯ', 'n', 'e', '+', 'o', 'x', 'tsʰ', 'o']"
bora1263,ASH,"['p', 'a', 'tʃ', 'i', 'i', 'xʲ', 'ɯ']"
bora1263,SMOKE (EXHAUST),"['o', 'x', 'tsʰ', 'o']"
bora1263,SKY,"['n', 'i', 'x', 'kʲʰ', 'e', 'x', 'ɨ']"
bora1263,SKY,"['i', 'e', 'β', 'e', 'ʔ', 'o', 'o', 'kʷ', 'a']"
bora1263,WIND,"['kʰ', 'i', 'i', 'xʲ', 'e', 'p', 'a']"
bora1263,SUN,"['n', 'ɯ', 'ʔ', 'p', 'a']"
bora1263,SUN,"['n', 'ɯ', 'ʔ', 'p', 'a', '+', 'kʰ', 'o', 'o', 'x', 'ɨ', 'e', 'x', 'pʰ', 'i']"
bora1263,STAR,"['m', 'ɨ', 'ɨ', 'kʰ', 'ɯ', 'r', 'ɯ', 'kʷ', 'a']"
bora1263,DAY (NOT NIGHT),"['kʰ', 'o', 'o', 'x', 'ɨ', 'ɨ']"
bora1263,NIGHT,"['pʰ', 'e', 'x', 'kʰ', 'o']"
bora1263,EARTH (SOIL),"['i', 'i', 'nʲ', 'ɯ', 'x', 'ɨ']"
bora1263,STONE,"['n', 'e', 'e', 'kʷ', 'a', 'j', 'ɯ']"
bora1263,STONE,"['n', 'e', 'e', 'kʷ', 'a', 'nʲ', 'e', 'ɯ']"
bora1263,SAND,"['n', 'e', 'kʷ', 'a', 'j', 'ɯ', 'ɯ', 'ʔ', 'a']"
bora1263,DOG,"['oː', 'ʔ', 'i', 'i', 'pʲ', 'e']"
bora1263,TAIL,"['p', 'o', 'kʷ', 'a', 'a']"
bora1263,TAIL,"['kʷ', 'a', 'kʷ', 'a', 'a', 'βʲ', 'e']"
bora1263,SNAKE,"['i', 'i', 'nʲ', 'i', 'mʲ', 'e']"
bora1263,BIRD,"['kʰ', 'oː', 'm', 'ɨ', 'kʰ', 'o']"
bora1263,BIRD,"['tʃʰ', 'e', 'ʔ', 'r', 'e', 'ɯ']"
bora1263,KILL,"['ts', 'ɨ', 'x', 'ɨ', 'β', 'e', 'tsʰ', 'o']"
bora1263,KILL,"['tʃ', 'iː', 'ʔ', 'j', 'a', 'n', 'ɯ']"
bora1263,KILL,"['a', 'pʰ', 'a', 'xʲ', 'ɯ', 'n', 'ɯ']"
bora1263,KILL,"['kʷ', 'a', 'pʰ', 'ɯ', 'x', 'ɯ', 'ʔ', 'x', 'a', 'kʰ', 'o']"
bora1263,KILL,"['kʷ', 'a', 'tsʰ', 'ɯ', 'ʔ', 'kʰ', 'a', 'o']"
bora1263,KILL,"['t', 'o', 'tsʰ', 'o', 'ʔ', 'kʰ', 'a', 'o']"
bora1263,KILL,"['kʷ', 'a', 'j', 'ɯ', 'ɯ', 'ʔ', 'a', 'r', 'o']"
bora1263,WET,"['m', 'ɯ', 'r', 'i', 'i', 'βʲ', 'e']"
bora1263,WET,"['m', 'a', 'x', 'a', 'a', 'β', 'e']"
bora1263,WET,"['r', 'e', 'ʔ', 'r', 'e']"
bora1263,WET,"['ɯ', 'ɯ', 'r', 'ɯ']"
bora1263,WET,"['ɯ', 'ɯ', 'r', 'ɯ', 'β', 'e']"
bora1263,WET,"['r', 'e', 'r', 'e', 'x', 'kʰ', 'ɯ']"
bora1263,FISH,"['a', 'm', 'o', 'o', 'p', 'e']"
bora1263,LOUSE,"['kʷ', 'a', 'a', 'n', 'i', 'ʔ', 'j', 'o']"
bora1263,LOUSE,"['kʷ', 'a', 'ʔ', 'tʲʰ', 'e', 'x', 'ɨ']"
bora1263,TREE,"['ɯ', 'm', 'e', 'ʔ', 'e']"
bora1263,LEAF,"['ɨ', 'n', 'a', 'ʔ', 'a', 'a', 'm', 'ɨ']"
bora1263,FLOWER,"['kʷ', 'a', 'x', 'kʰ', 'o']"
bora1263,RUB,"['tʃ', 'e', 'e', 'n', 'e']"
bora1263,RUB,"['i', 'mʲ', 'e', 'x', 'ɯ']"
bora1263,RUB,"['n', 'e', 'e', 'β', 'a']"
bora1263,RUB,"['n', 'eː', 'β', 'a', 'p', 'a']"
bora1263,ROOT,"['p', 'a', 'x', 'kʲʰ', 'e', 'e']"
bora1263,SEED,"['p', 'a', 'x', 'tsʰ', 'o', 'kʷ', 'a']"
bora1263,SEED,"['p', 'a', 'x', 'tsʰ', 'o', 'ɯ']"
bora1263,SEED,"['pʰ', 'a', 'nʲ', 'e', 'β', 'a', 'ɯ']"
bora1263,STICK,"['ɯ', 'm', 'e', 'ʔ', 'e', 'i']"
bora1263,STICK,"['ɯ', 'm', 'e', 'ʔ', 'e', 'kʰ', 'o']"
bora1263,STICK,"['ɯ', 'm', 'e', 'n', 'e', 'p', 'a']"
bora1263,GRASS,"['p', 'ɨ', 'ɨ', 'β', 'a']"
bora1263,GRASS,"['tsʰ', 'o', 'x', 'kʰ', 'o', 'm', 'ɯ', 'x', 'ɨ']"
bora1263,FEATHER,"['ɯ', 'x', 'ɨ']"
bora1263,FEATHER,"['ɯ', 'x', 'ɨ', 'ʔ', 'o']"
bora1263,SALT,"['kʰ', 'a', 'n', 'a', 'a', 'm', 'a', 'a']"
bora1263,ONE,"['tsʰ', 'a', 'n', 'e']"
bora1263,TWO,"['m', 'i', 'nʲ', 'e', 'e', 'kʰ', 'ɯ', 'ɯ']"
bora1263,THREE,"['pʰ', 'a', 'pʰ', 'i', 'ʔ', 'tʃʰ', 'ɯ', 'ɯ']"
bora1263,FOUR,"['pʰ', 'ɨ', 'ɨ', 'n', 'eː', 'ʔ', 'o', 'x', 'tsʰ', 'ɨ']"
bora1263,FIVE,"['tsʰ', 'a', 'ʔ', 'o', 'x', 'tsʰ', 'ɨ']"
bora1263,I,"['o', 'o']"
bora1263,THOU,"['ɯ', 'ɯ']"
bora1263,HE,"['a', 'a', 'p', 'e']"
bora1263,HE,"['t', 'i', 'i', 'pʲ', 'e']"
bora1263,HE,"['a', 'a', 'n', 'ɯ', 'ɯ']"
bora1263,HE,"['a', 'a', 'pʲ', 'e']"
bora1263,HE,"['a', 'a', 't', 'i']"
bora1263,WE,"['m', 'ɯ', 'ɯ', 'ʔ', 'a']"
bora1263,WE,"['m', 'ɯ', 'ʔ', 'tsʰ', 'i']"
bora1263,WE,"['m', 'ɯ', 'ʔ', 'pʰ', 'ɨ']"
bora1263,YOU,"['a', 'm', 'ɯ', 'ɯ', 'ʔ', 'a']"
bora1263,YOU,"['a', 'm', 'ɯ', 'ʔ', 'tsʰ', 'i']"
bora1263,YOU,"['a', 'm', 'ɯ', 'ʔ', 'pʰ', 'ɨ']"
bora1263,BIG,"['m', 'i', 'tʲʰ', 'a', 'n', 'e']"
bora1263,BIG,"['tʃ', 'i', 'j', 'a']"
bora1263,BIG,"['kʰ', 'e', 'm', 'ɯ']"
bora1263,SMALL,"['nʲ', 'o', 'm', 'ɨ']"
bora1263,SMALL,"['a', 'j', 'a']"
bora1263,SMALL,"['a', 'j', 'a', 'n', 'e', 'kʷ', 'ɯ']"
bora1263,SMALL,"['ɯ', 'ʔ', 'x', 'e', 'n', 'e', 'kʷ', 'ɯ']"
bora1263,SMALL,"['tʃʰ', 'o', 'ʔ', 'x', 'ɯ']"
bora1263,SMALL,"['ɯ', 'ɯ', 'k', 'ɯ', 'j', 'i', 'ɯ']"
bora1263,GOOD,"['i', 'm', 'i', 'kʷ', 'ɯ']"
bora1263,GOOD,"['ɨ', 'm', 'ɨ', 'a', 'a', 'n', 'e']"
bora1263,GOOD,"['ɨ', 'm', 'ɨ', 'a', 'a', 'p', 'e']"
bora1263,BAD,"['i', 'm', 'i', 'tʲʰ', 'ɯ', 'i', 'n', 'e']"
bora1263,BAD,"['i', 'm', 'i', 'tʲʰ', 'ɯ', 'i', 'ɯ', 'i', 'p', 'e', 'kʰ', 'e']"
bora1263,WHITE,"['tsʰ', 'ɨ', 'tsʰ', 'ɨ', 'ɨ', 'n', 'e']"
bora1263,WHITE,"['tsʰ', 'ɨ', 'tsʰ', 'ɨ']"
bora1263,BLACK,"['kʰ', 'ɯ', 'i', 'ɯ', 'i', 'β', 'e', 'n', 'e']"
bora1263,BLACK,"['kʰ', 'ɯ', 'i', 'ɯ', 'i', 'β', 'e', 'm', 'e', 'kʰ', 'e']"
bora1263,BLACK,"['p', 'a', 'x', 'tʰ', 'ɯ', 'n', 'e']"
bora1263,THIS,"['i', 'nʲ', 'e', 'e']"
bora1263,THIS,"['a', 'a', 'n', 'ɯ', 'ɯ']"
bora1263,THIS,"['a', 'a', 'mʲ', 'e', 'e']"
bora1263,THIS,"['e', 'e', 'n', 'e']"
bora1263,THAT,"['e', 'e', 'n', 'e']"
bora1263,THAT,"['tʰ', 'e', 'e', 'n', 'e']"
bora1263,THAT,"['tʰ', 'e', 'e', 'x', 'a']"
bora1263,THAT,"['tʰ', 'e', 'e', 'kʷ', 'a']"
bora1263,THAT,"['t', 'i', 'i', 'pʲ', 'e']"
bora1263,THAT,"['a', 'a', 'n', 'ɯ', 'ɯ']"
bora1263,WHO,"['m', 'ɯ', 'ʔ', 'a']"
bora1263,WHO,"['m', 'ɯ', 'ʔ', 'a', 'x', 'a']"
bora1263,WHO,"['kʰ', 'aː', 'tʲʰ', 'e', 'ʔ', 'a']"
bora1263,WHO,"['kʰ', 'aː', 'tʲʰ', 'e', 'ʔ', 'a', 'x', 'a']"
bora1263,WHAT,"['ɨ', 'ɨ', 'n', 'a']"
bora1263,NOT,"['tsʰ', 'a', 'ʔ', 'a', 'a']"
bora1263,ALL,"['pʰ', 'a', 'n', 'e', 'e', 'r', 'e']"
bora1263,ALL,"['pʰ', 'a', 'm', 'e', 'e', 'r', 'e']"
bora1263,MANY,"['m', 'i', 'tʲʰ', 'a', 'n', 'e']"
bora1263,MANY,"['i', 'ʔ', 'n', 'a', 'ʔ', 'o']"
bora1263,LONG,"['kʰ', 'a', 'a', 'm', 'e', 'n', 'e']"
bora1263,BARK,"['ɯ', 'm', 'e', 'ʔ', 'e', '+', 'ʔ', 'a', 'tʃ', 'ɯ', 'e', 'm', 'ɨ', 'ɨ', 'ʔ', 'o']"
bora1263,FLESH OR MEAT,"['e', 'e', 'kʰ', 'o', 'o']"
bora1263,FLESH OR MEAT,"['t', 'o', 'o']"
bora1263,EGG,"['i', 'i', 'ʔ', 'j', 'ɯ', 'ɯ']"
bora1263,EGG,"['i', 'i', 'ʔ', 'j', 'ɯ', 'ɯ', 'ɯ']"
bora1263,BELLY,"['i', 'ʔ', 'p', 'a', 'ɯ']"
bora1263,BELLY,"['m', 'e', 'ʔ', 'p', 'a', 'ɯ', 'ɯ']"
bora1263,LIVER,"['i', 'ʔ', 'kʷ', 'a', 'n', 'e', 'e']"
bora1263,LIVER,"['m', 'e', 'ʔ', 'kʷ', 'a', 'n', 'e', 'e']"
bora1263,LIVER,"['kʷ', 'a', 'n', 'e', 'e']"
bora1263,LIVER,"['kʷ', 'a', 'n', 'e', 'e', 'n', 'e']"
bora1263,DRINK,"['a', 't', 'o']"
bora1263,DRINK,"['a', 't', 'ɯ', 'kʰ', 'ɯ']"
bora1263,DRINK,"['a', 't', 'ɯ', 'kʰ', 'ɯ', 'n', 'ɯ']"
bora1263,EAT,"['t', 'o', 'o']"
bora1263,EAT,"['tʃ', 'e', 'e', 'n', 'e']"
bora1263,EAT,"['m', 'a', 'x', 'tʃʰ', 'o']"
bora1263,BITE,"['ɨ', 'ʔ', 't', 'o']"
bora1263,BITE,"['t', 'ɨ', 'k', 'ɯ', 'x', 'kʰ', 'ɯ']"
bora1263,BITE,"['t', 'e', 'n', 'o', 'x', 'kʰ', 'o']"
bora1263,BITE,"['t', 'ɨ', 'tʃ', 'e', 'ʔ', 'x', 'ɯ', 'kʰ', 'ɯ']"
bora1263,SEE,"['a', 'x', 't', 'h', 'j', 'ɯ', 'm', 'ɨ', 'ɨ', 'ɨ', 'tʰ', 'e', 'kʰ', 'ɯ', 'n', 'ɯ']"
bora1263,SEE,"['t', 'ɯ', 'x', 'ɯ', 'ɯ', 'kʰ', 'ɯ', 'n', 'ɯ']"
bora1263,SEE,"['ɯ', 'ɯ', 'x', 'e']"
bora1263,SMELL (PERCEIVE),"['ɯ', 'tʃ', 'i', 'x', 'kʲʰ', 'ɯ']"
bora1263,SMELL (PERCEIVE),"['ɯ', 'tʃ', 'i', 'ɯ', 'kʰ', 'ɯ']"
bora1263,SMELL (PERCEIVE),"['tsʰ', 'i', 'i', 'ʔ', 'xʲ', 'ɯ', 'kʰ', 'ɯ']"
bora1263,SMELL (PERCEIVE),"['a', 'r', 'a', 'ʔ', 'kʰ', 'o']"
bora1263,SMELL (PERCEIVE),"['β', 'o', 'β', 'o', 'x', 'kʰ', 'ɯ']"
bora1263,SMELL (PERCEIVE),"['kʰ', 'ɯ', 'β', 'a']"
bora1263,SMELL (PERCEIVE),"['a', 'pʲʰ', 'ɯ', 'x', 'a', 'kʰ', 'o', 'o', 'β', 'e']"
bora1263,SUCK,"['nʲ', 'o', 'ʔ', 'nʲ', 'o']"
bora1263,SUCK,"['nʲ', 'o', 'i', 'ʔ', 'kʲʰ', 'o']"
bora1263,SUCK,"['pʰ', 'ɨ', 'ʔ', 'x', 'a']"
bora1263,SUCK,"['ɨ', 'ɨ', 'ʔ', 'a']"
bora1263,SUCK,"['tsʰ', 'ɨ', 'ɨ', 'ʔ', 'i']"
bora1263,HEAR,"['tʃ', 'e', 'e', 'p', 'o']"
bora1263,HEAR,"['tʃ', 'i', 'nʲ', 'e', 'm', 'ɯ', 'ɯ', 'kʰ', 'ɯ', 'n', 'ɯ']"
bora1263,HEAR,"['n', 'ɯ', 'ʔ', 'e', 'x', 'ɯ', 'ɯ', 'kʰ', 'ɯ', 'n', 'ɯ']"
bora1263,HEAR,"['tʃ', 'eː', 'p', 'ɯ', 'kʰ', 'ɯ', 'n', 'ɯ']"
bora1263,HEAR,"['β', 'ɨ', 'a', 'a', 'β', 'e']"
bora1263,KNOW (SOMETHING),"['kʷ', 'aː', 'x', 'a', 'kʰ', 'ɯ']"
bora1263,KNOW (SOMETHING),"['pʰ', 'iː', 'βʲ', 'e', 'tʰ', 'e']"
bora1263,SLEEP,"['kʰ', 'ɯ', 'kʷ', 'a']"
bora1263,DIE,"['ts', 'ɨ', 'x', 'ɨ', 'β', 'e']"
bora1263,DIE,"['a', 'pʰ', 'a', 'j', 'e', 'e', 'β', 'e']"
bora1263,DIE,"['aː', 'p', 'a', 'tʰ', 'e']"
bora1263,DIE,"['kʰ', 'a', 'nʲ', 'a', 'j', 'a', 'ɨ', 'ɨ', 'β', 'e', 'i', 'nʲ', 'ɯ']"
bora1263,DIE,"['ɨ', 'm', 'o', 'x', 'ɨ', 'ɨ', 'β', 'e']"
bora1263,DIE,"['kʷ', 'a', 'j', 'e', 'e', 'e', 'β', 'e']"
bora1263,DIE,"['a', 'm', 'o', 'tʲʰ', 'a', 'a', 'β', 'e']"
bora1263,SWIM,"['i', 'x', 'tʃʰ', 'i']"
bora1263,FLY (MOVE THROUGH AIR),"['kʷ', 'aː', 'm', 'e', 'n', 'e']"
bora1263,FLY (MOVE THROUGH AIR),"['kʷ', 'a', 'ʔ', 'pʰ', 'e']"
bora1263,WALK,"['ɯ', 'tʃ', 'e']"
bora1263,WALK,"['tʰ', 'a', 't', 'ɯ', 'i', 'ʔ', 'kʰ', 'ɯ']"
bora1263,WALK,"['r', 'i', 'xʲ', 'a', 'x', 'kʰ', 'o']"
bora1263,WALK,"['pʰ', 'e', 'e']"
bora1263,COME,"['tsʰ', 'a', 'a']"
bora1263,COME,"['n', 'a', 'ʔ', 'x', 'ɨ', 'ʔ', 'e']"
bora1263,GIVE,"['a', 'x', 'kʰ', 'ɯ']"
bora1263,GIVE,"['e', 'x', 'e', 'x', 'kʰ', 'a', 'tʃ', 'o']"
bora1263,SAY,"['ɯ', 'ɯ', 'p', 'a', 'tʃ', 'e']"
bora1263,SAY,"['n', 'e', 'e']"
bora1263,SAY,"['i', 'ʔ', 'xʲ', 'ɯ', 'i', 'β', 'a']"
bora1263,MOUNTAIN,"['kʷ', 'a', 'x', 'ɯ', 'ɯ']"
bora1263,MOUNTAIN,"['p', 'a', 'ɯ', 'ɯ']"
bora1263,MOUNTAIN,"['kʰ', 'a', 'm', 'e', 'kʷ', 'a', 'x', 'ɯ']"
bora1263,MOUNTAIN,"['kʰ', 'a', 'm', 'e', 'ʔ', 'p', 'a', 'ɯ']"
bora1263,RED,"['tʰ', 'ɯ', 'x', 'pʰ', 'a', 'nʲ', 'e']"
bora1263,GREEN,"['a', 'x', 'tʲʰ', 'ɯ', 'β', 'a']"
bora1263,GREEN,"['a', 'x', 'tʲʰ', 'ɯ', 'β', 'a', 'n', 'e']"
bora1263,YELLOW,"['tʃ', 'i', 'x', 'kʲʰ', 'a', 'n', 'e', 'ɯ', 'β', 'ɯ']"
bora1263,NEW,"['p', 'e', 'ʔ', 'n', 'e']"
bora1263,DRY,"['a', 'r', 'aː', 'β', 'e', 'n', 'e']"
bora1263,DRY,"['t', 'a', 'a', 'r', 'ɨ', 'n', 'e']"
bora1263,NAME,"['m', 'e', 'm', 'e']"
bora1263,HOW,"['m', 'ɯ', 'ʔ', 't', 'ɯ']"
bora1263,WHEN,"['kʰ', 'oː', 'kʰ', 'a']"
bora1263,WHEN,"['m', 'ɯ', 'i', 'xʲ', 'ɯ', 'ʔ', 'x', 'a', 'a']"
bora1263,WHERE,"['kʰ', 'i', 'a']"
bora1263,WHERE,"['m', 'ɯ', 'tsʰ', 'i', 'i']"
bora1263,WHERE,"['tsʰ', 'a', 'tsʰ', 'iː']"
bora1263,WHERE,"['kʰ', 'e', 'tsʰ', 'i', 'i']"
bora1263,HERE,"['i', 'i', 'tʃ', 'e', 'e']"
bora1263,HERE,"['i', 'tʃʰ', 'iː']"
bora1263,HERE,"['i', 'nʲ', 'e', 'e', 'r', 'i']"
bora1263,THERE,"['e', 'ʔ', 'tʃ', 'e', 'e']"
bora1263,THERE,"['e', 'tʃ', 'e']"
bora1263,THERE,"['e', 'ʔ', 'tsʰ', 'i', 'i', 'i']"
bora1263,THERE,"['tʰ', 'e', 'tsʰ', 'iː']"
bora1263,THERE,"['tʰ', 'e', 'ʔ', 'ɯ', 'tʃ', 'e']"
bora1263,OTHER,"['tsʰ', 'i', 'x', 'pʰ', 'i']"
bora1263,OTHER,"['tsʰ', 'i', 'i', 'nʲ', 'e']"
bora1263,OTHER,"['i', 'n', 'a', 'n', 'i', 'm']"
bora1263,OTHER,"['tsʰ', 'i', 'i', 'kʷ', 'a']"
bora1263,OTHER,"['tsʰ', 'i', 'i', 'ʔ', 'j', 'e']"
bora1263,OTHER,"['tsʰ', 'i', 'x', 'pʰ', 'i', 'tʃ', 'e']"
bora1263,FEW,"['kʷ', 'a', 'ʔ', 'a', 'x', 'tʃʰ', 'o', 'tʰ', 'a']"
bora1263,FEW,"['ɯ', 'ʔ', 'x', 'e', 'n', 'e', 'r', 'e']"
bora1263,FEW,"['tʃʰ', 'o', 'ʔ', 'x', 'ɯ', 'n', 'e', 'r', 'e']"
bora1263,FEW,"['a', 'j', 'a', 'n', 'e', 'r', 'e']"
bora1263,FLOW,"['kʷ', 'a', 'a', 'p', 'e']"
bora1263,SEA,"['m', 'o', 'o', 'a']"
bora1263,SEA,"['ɨ', 'ɨ', 'β', 'a', 'm', 'ɯ', '+', 't', 'o', 'kʰ', 'o', 'x', 'pʰ', 'a', 'kʲʰ', 'o']"
bora1263,WASH,"['n', 'i', 'x', 'tʲʰ', 'ɯ', 'kʰ', 'ɯ']"
bora1263,WASH,"['kʷ', 'a', 'tʃʰ', 'a', 'tʃʰ', 'a', 'ʔ', 'x', 'ɯ', 'kʰ', 'ɯ']"
bora1263,WASH,"['i', 'tʃ', 'o', 'a', 'kʰ', 'o']"
bora1263,WASH,"['i', 'p', 'ɯ', 'n', 'ɯ', 'a', 'kʰ', 'o']"
bora1263,WORM,"['ɯ', 'ɯ', 'p', 'a']"
bora1263,WORM,"['a', 'x', 'pʰ', 'a', 'kʲʰ', 'o']"
bora1263,WORM,"['a', 'm', 'i', 'tʲʰ', 'o', 'p', 'a']"
bora1263,WORM,"['ɯ', 'x', 'tsʰ', 'ɯ', 'ʔ', 'o']"
bora1263,WORM,"['tʰ', 'ɯ', 'ʔ', 'n', 'ɯ', 'ɯ']"
bora1263,WORM,"['tʲʰ', 'ɯ', 'ɯ', 'ʔ', 'ɯ', 'm', 'ɨ']"
bora1263,WORM,"['ɯ', 'x', 'tsʰ', 'ɯ', 'ɯ', 'm', 'ɯ', 'kʰ', 'o']"
bora1263,WING,"['n', 'ɯ', 'kʷ', 'a', 'a']"
bora1263,WITH,"['m', 'a']"
bora1263,WITH,"['r', 'i']"
bora1263,AT,"['tsʰ', 'a', 'tsʰ', 'i', 'i']"
bora1263,IF,"['ʔ', 'a', 'x', 'tʃʰ', 'i', 'i', 'xʲ', 'ɯ']"
bora1263,IF,"['kʰ', 'a']"
