# Wordlist

# DATA
ID	DOCULECT	VALUE	FORM	CONCEPT	TOKENS	COGID	MORPHEMES	ALIGNMENT	NOTE
1296	Aguaruna	pɨgkɨg	pɨgkɨg	good	p ɨ ŋ k ɨ ŋ	731		p ɨ ŋ k ɨ ŋ	
1430	Arabela	maninia	maninia	good	m a n i n i a	732		m a n i n i a	
1670	Chayahuita	noya	noya	good	n o j a	735		n o j a	
1797	Muniche	tʃu	tʃu	good	tʃ u	737		tʃ u	
1911	Taushiro	jaʔtuʔa	jaʔtuʔa	good	j a ʔ t u ʔ a	741		j a ʔ t u ʔ a	
2017	Waorani	wa	wa	good	w a	743		w a	
2264	Proto-Bora-Muinane	imi	imi	good	i m i	733		- i m i - - -	
2265	Bora	imí	imí	good	i m !í/i	733		- i m !í/i - - -	
2266	Muinane	ími-no	ími-no	good	!í/i m i n o	733		- !í/i m i n o -	
2618	AchuarShiwiar	péngker	péngker	good	p !é/ɨ ŋ k ɨ r	731		p !é/ɨ ŋ k ɨ r	
2817	Canichana	ererets	ererets	good	e ɾ e ɾ e ts	734		e ɾ e ɾ e ts	
3242	Shiwilu	makanka	makanka	good	m a k a n g a	740		m a k a n g a	
3422	Shuar	pénker	pénker	good	p !é/ɨ ŋ k ɨ ɾ	731		p !é/ɨ ŋ k ɨ ɾ	
3623	Omurano	ni'manei	ni'manei	good	n i m a n e i	733		n i m a n e i	Tessmann: gut (?)
3713	Urarina	kawatʃá	kawatʃá	good	k a w a tʃ !á/a	742		k a w a tʃ !á/a	
4057	Wampis	penker	penker	good	p e n k e r	731		p e n k e r	
4232	Yagua	samïrya	samïrya	good	s a m !ï/i rʲ a	746		s a m !ï/i rʲ a	
4445	Yanesha	kowen	kowen	good	k o w e n	747		k o w e n	
4516	Zaparo	wɨtsaka	wɨtsaka	good	w ɨ ts a k a	748		w ɨ ts a k a	
#
63	Iquito	iyásììka	iyásììka	grass	i j !á/a s !ìì/iː k a	750		- i j !á/a s !ìì/iː k a	
272	Ocaina	tʲohã́ã́	tʲohã́ã́	grass	tʲ o h !ã́ã́/aː	757		tʲ o h - - !ã́ã́/aː	
273	Ocaina	tʲohã́ã́hã	tʲohã́ã́hã	grass	tʲ o h !ã́ã́/aː h !ã/a	757		tʲ o h !ã́ã́/aː h !ã/a	
498	Resigaro	himiítsí	himiítsí	grass	h i m !ií/iː td !í/i	759		h i m !ií/iː td !í/i	
681	WitotoMinica	ráitɯaɯ	ráitɯaɯ	grass	!r/ɾ !á/a i t ɯ a ɯ	765		!r/ɾ !á/a i t ɯ a ɯ	
899	WitotoMurui	raitɯkɯɲo	raitɯkɯɲo	grass	r ai t ɯ k ɯ ɲ o	766		r ai t ɯ k ɯ ɲ o	
1106	WitotoNipode	ráiɗɯaɯ	ráiɗɯaɯ	grass	!r/ɾ !á/a i ɗ ɯ a ɯ	765		!r/ɾ !á/a i ɗ ɯ a ɯ	
1297	Aguaruna	dupa	dupa	grass	d ʊ p a	749		d ʊ p a	
1431	Arabela	j̃ijasokwa	j̃ijasokwa	grass	!h̃/h i h a s o k ua	750		!h̃/h i h a s o k ua	
1557	Candoshi-Shapra	tʃiɾitʃiɾi	tʃiɾitʃiɾi	grass	tʃ i ɾ i tʃ i ɾ i	752		tʃ i ɾ i tʃ i ɾ i	
1671	Chayahuita	pakatɨɾoʔ	pakatɨɾoʔ	grass	p a k a t ɨ ɾ o ʔ	754		p a k a t ɨ ɾ o ʔ	
1798	Muniche	mamça	mamça	grass	m a m ç a	756		m a m ç a	
1912	Taushiro	itʃuntuʔ	itʃuntuʔ	grass	i tʃ u n t u ʔ	762		i tʃ u n t u ʔ	
2018	Waorani	gagĩbæ̃	gagĩbæ̃	grass	g a g !ĩ/i b !æ̃/æ	764		g a g !ĩ/i b !æ̃/æ	
2221	Proto-Bora-Muinane	ʦukkume-he	ʦukkume-he	grass	ts u k k u m e h e	751		ts u k k u m e h e	
2222	Bora	ʦʰóhkʰómɯ-hɨ	ʦʰóhkʰómɯ-hɨ	grass	tsʰ !ó/o h kʰ !ó/o m ɯ h ɨ	751		tsʰ !ó/o h kʰ !ó/o m ɯ h ɨ	
2223	Muinane	súkkume-he	súkkume-he	grass	s !ú/u k k u m e h e	751		s !ú/u k k u m e h e	
2619	AchuarShiwiar	nupá̃ã	nupá̃ã	grass	n u p !á̃ã/aː	749		n u p !á̃ã/aː	
2818	Canichana	nim-hugu	nim-hugu	grass	n i m h u g u	753		n i m h u g u	
2928	Juri	pinóu	pinóu	grass	p i n !ó/o u	755		p i n !ó/o u	Martius: gramen
3102	Pebas	vashi	vashi	grass	v a ʃ i	758		v a ʃ i	Martius: herba
3243	Shiwilu	panpatek	panpatek	grass	p a m b a tˀ ə k	760		p a m b a tˀ ə k	
3423	Shuar	saák’	saák’	grass	s aː k i	761		s aː k i	
3778	Urarina	fʷas̪t̪ú	fʷas̪t̪ú	grass	fʷ a s !̪t/t !̪ú/u	763		fʷ a s !̪t/t !̪ú/u	
3946	Wampis	nupa	nupa	grass	n u p a	749		n u p a	
4268	Yanesha	taˀteˀ	taˀteˀ	grass	t a ʔ t e ʔ	767		t a ʔ t e ʔ	
4517	Zaparo	yawsuka	yawsuka	grass	j au s u k a	750		- - j au s u k a	
#
64	Iquito	nɨyana	nɨyana	green	n ɨ j a n a	776		n ɨ j a n a	green
364	Ocaina	moxóóso	moxóóso	green	m o x !óó/oː s o	779		m o x !óó/oː s o	
365	Ocaina	hiááʔo	hiááʔo	green	h i !áá/aː ʔ o	787		h i !áá/aː ʔ o	
552	Resigaro	ipogíʔ	ipogíʔ	green	i p o g !í/i ʔ	780		i p o g !í/i ʔ	
750	WitotoMinica	mókorede	mókorede	green	m !ó/o k o !r/ɾ e d e	784		m !ó/o k o !r/ɾ e d e	
963	WitotoMurui	mokorede	mokorede	green	m o k o r e d e	784		m o k o r e d e	
1169	WitotoNipode	mókorede	mókorede	green	m !ó/o k o !r/ɾ e d e	784		m !ó/o k o !r/ɾ e d e	
1299	Aguaruna	samɨkbau	samɨkbau	green	s a m ɨ k b oʊ	769		s a m ɨ k b oʊ	
1433	Arabela	neeɾuuka	neeɾuuka	green	n eː ɾ uː k a	770		n eː ɾ uː k a	
1558	Candoshi-Shapra	kawampana	kawampana	green	k a w a m p a n a	772		k a w a m p a n a	
1673	Chayahuita	kaninton	kaninton	green	k a n i n t o n	774		k a n i n t o n	
2020	Waorani	wĩjadæ̃	wĩjadæ̃	green	w !ĩ/i j a d !æ̃/æ	783		w !ĩ/i j a d !æ̃/æ	
2382	Proto-Bora-Muinane	aittɨβa	aittɨβa	green	a i t t ɨ β a	771		a i t t ɨ β - - a	
2383	Bora	ahtʰʲɯ́βa	ahtʰʲɯ́βa	green	a h tʰʲ !ɯ́/ɯ β a	771		a - h tʰʲ !ɯ́/ɯ β - - a	
2384	Muinane	attʲɨ́βa-no	attʲɨ́βa-no	green	a t tʲ !ɨ́/ɨ β a n o	771		a - t tʲ !ɨ́/ɨ β a n o	
2620	AchuarShiwiar	wingkiá	wingkiá	green	v i ŋ kʲ a	768		v i ŋ kʲ a	dark green. Because of order of the entries, this seems to be a phonological variation: kingkiá
2621	AchuarShiwiar	samék	samék	green	s a m !é/ɨ k	769		s a m !é/ɨ k - -	light green
2819	Canichana	ni-cchacha	ni-cchacha	green	n i k tʃ a tʃ a	773		n i k tʃ a tʃ a	ni = ABS
3010	Juri	tschúhmŏ	tschúhmŏ	green	dʒ !ú/u ʔ m !ŏ/o	777		dʒ !ú/u ʔ m !ŏ/o	Martius: viridis
3087	Coeruna	mockomö	mockomö	green	m o k o m !ö/o	775		m o k o m !ö/o	Martius: viridis, e
3184	MiranhaCarapana-Tapuya	miringa	miringa	green	m i r i n g a	778		m i r i n g a	Martius: viridis
3244	Shiwilu	tankuwawamekpu’a’su’	tankuwawamekpu’a’su’	green	t a n g u w a w a m ə ˀk p u ʔ a ʔ s u ʔ	781		t a n g u w a w a m ə ˀk p u ʔ a ʔ s u ʔ	
3424	Shuar	sámek	sámek	green	s !á/a m ɨ k	769		s !á/a m ɨ k - -	
3801	Urarina	beɾ̺aɨɾ̺isiiúhʷai	beɾ̺aɨɾ̺isiiúhʷai	green	b e ɾ a ɨ ɾ i s i i !ú/u hʷ a i	782		b e ɾ a ɨ ɾ i s i i !ú/u hʷ a i	
4047	Wampis	samek	samek	green	s a m e k	769		s a m e k - -	
4229	Yagua	wasunu	wasunu	green	w a s u n u	785		w a s u n u	
4442	Yanesha	aspan	aspan	green	a s p a n	786		a s p a n	
4518	Zaparo	nɨɨka	nɨɨka	green	n ɨː k a	770		n ɨː - - k a	
#
2622	AchuarShiwiar	ampúj	ampúj	guts	a m p !ú/u h	788		a m p !ú/u h -	
3245	Shiwilu	dullin	dullin	guts	ð u ʎ i n	789		ð u ʎ i n	
3425	Shuar	ámpuje	ámpuje	guts	!á/a m p u h ɨ	788		!á/a m p u h ɨ	
3969	Wampis	ampuj	ampuj	guts	a m p u h	788		a m p u h -	
4115	Yagua	sikidi	sikidi	guts	s i k i d i	790		s i k i d i	
4304	Yanesha	pat͡ʃoret͡ʂ	pat͡ʃoret͡ʂ	guts	p a tʃ o ɾ e tʂ	791		p a tʃ o ɾ e tʂ	
4519	Zaparo	maraka	maraka	guts	m a r a k a	792		m a r a k a	
#
65	Iquito	ririíkɨɨtáani	ririíkɨɨtáani	hair	r i r !ií/iː k ɨː t !áa/aː n i	799		r i r !ií/iː k ɨː t !áa/aː n i	hair
1300	Aguaruna	intaʃ	intaʃ	hair	i n t a ʃ	793		i n t - a ʃ -	
1434	Arabela	muesu	muesu	hair	m u e s u	794		m u e s u	
1559	Candoshi-Shapra	motʃooʂi	motʃooʂi	hair	m o tʃ oː ʂ i	796		m o tʃ oː ʂ i	
1674	Chayahuita	ain	ain	hair	a i n	797		a i n	
1799	Muniche	tʃaçpɨɾa	tʃaçpɨɾa	hair	tʃ a ç p ɨ ɾ a	803		tʃ a ç p ɨ ɾ a	
1914	Taushiro	aʔtʃiʔtʃiʔha	aʔtʃiʔtʃiʔha	hair	a ʔ tʃ i ʔ tʃ i ʔ h a	807		a ʔ tʃ i ʔ tʃ i ʔ h a	
2021	Waorani	okagĩ	okagĩ	hair	o k a g !ĩ/i	809		o k a g !ĩ/i	
2114	Proto-Bora-Muinane	-hee-	-hee-	hair	h e e	806		h e e	
2115	Bora	ɨʔ-hɨne	ɨʔ-hɨne	hair	ɨ ʔ h ɨ n e	795		ɨ ʔ h ɨ n e	
2116	Muinane	nígaɨ-hee-ne	nígaɨ-hee-ne	hair	n !í/i g a ɨ h e e n e	802		n !í/i g a ɨ h e e n e	
2623	AchuarShiwiar	intásh	intásh	hair	i n t !á/a ʃ	793		i n t - !á/a ʃ -	
2898	Juri	tschu-gerüönicó	tschu-gerüönicó	hair	dʒ u g e ɾ ɨ !ö/o n i c !ó/o	800		dʒ u g e ɾ ɨ !ö/o n i c !ó/o	Martius: capillus
2899	Juri	sukiriuii	sukiriuii	hair	s u k i ɾ i u i i	813		s u k i ɾ i u i i	Martius: capillus
2900	Juri	tikiriú	tikiriú	hair	t i k i ɾ i !ú/u	813		t i k i ɾ i !ú/u - -	Martius: capillus
3038	Coeruna	covaungeté	covaungeté	hair	k o v a u n g e t !é/e	798		k o v a u n g e t !é/e	Martius: capillus
3093	Pebas	raino-say	raino-say	hair	ɾ ai n o s a j	805		ɾ ai n o s a j	Martius: capilli
3135	MiranhaCarapana-Tapuya	göhossöhú	göhossöhú	hair	g !ö/o ʔ o s s !ö/o ʔ !ú/u	801		g !ö/o ʔ o s s !ö/o ʔ !ú/u	Martius: capillus
3246	Shiwilu	enchek	enchek	hair	ə n dʒ ə ˀk	793		ə n dʒ - ə ˀk -	
3426	Shuar	intiash’	intiash’	hair	i n t i a ʃ i	793		i n t i a ʃ i	
3588	Omurano	anána	anána	hair	a n !á/a n a	804		a n !á/a n a	Tessmann: Haar
3660	Yameo	yana'an̊se	yana'an̊se	hair	j a n a a !n̊/n s e	811		j a n a a !n̊/n s e	Tessmann: Haar
3747	Urarina	kuɨʰt̪ɨd̺uhí	kuɨʰt̪ɨd̺uhí	hair	k u !ɨʰ/ɨ̤ t ɨ d u h !í/i	808		k u !ɨʰ/ɨ̤ t ɨ d u h !í/i	
3956	Wampis	intash	intash	hair	i n t a ʃ	793		i n t - a ʃ -	
4121	Yagua	nojasi	nojasi	hair	n o h a s i	810		n o h a s i	
4310	Yanesha	et͡ʃet͡s / poet͡ʃ	et͡ʃet͡s	hair	e tʃ e ts	793		e - tʃ - e ts -	
4311	Yanesha	et͡ʃet͡s / poet͡ʃ	poet͡ʃ	hair	p o e tʃ	814		p o e tʃ	
4520	Zaparo	anakɨsu	anakɨsu	hair	a n a k ɨ s u	812		a n a k ɨ s u	
#
66	Iquito	kurika	kurika	hand	k u r i k a	822		k u r i k a	hand
206	Ocaina	on̥õõ	on̥õõ	hand	o n̥ !õõ/oː	821		- o n̥ !õõ/oː - - -	
207	Ocaina	on̥õõpo	on̥õõpo	hand	o n̥ !õõ/oː p o	821		- o n̥ !õõ/oː - p o	
457	Resigaro	ké	ké	hand	k !é/e	827		k !é/e	
634	WitotoMinica	ónoɯ	ónoɯ	hand	!ó/o n o ɯ	821		- !ó/o n o ɯ - -	
850	WitotoMurui	onoʤɯ	onoʤɯ	hand	o n o dʒ ɯ	821		- o n o - dʒ ɯ	
851	WitotoMurui	onoɯ	onoɯ	hand	o n oɯ	821		- o n oɯ - - -	
1060	WitotoNipode	ónoɯ	ónoɯ	hand	!ó/o n o ɯ	821		- !ó/o n o ɯ - -	
1301	Aguaruna	uwɨh	uwɨh	hand	ʊ w ɨ h	815		ʊ w ɨ h -	
1435	Arabela	j̃uaaʃikwia	j̃uaaʃikwia	hand	!h̃/h u aː ʃ i k i a	817		!h̃/h u aː ʃ i k i a	
1560	Candoshi-Shapra	kowitʃ	kowitʃ	hand	k o w i tʃ	818		k o w i tʃ	
1675	Chayahuita	imiɾa	imiɾa	hand	i m i ɾ a	819		i m i ɾ a	
1800	Muniche	htaʔsɨɾa	htaʔsɨɾa	hand	h t a ʔ s ɨ ɾ a	824		h t a ʔ s ɨ ɾ a	
1915	Taushiro	jawa	jawa	hand	j a w a	829		j a w a	
2022	Waorani	õdõpo	õdõpo	hand	!õ/o d !õ/o p o	832		!õ/o d !õ/o p o	
2120	Proto-Bora-Muinane	ʔutʦe	ʔutʦe	hand	ʔ u t ts e	816		- ʔ u t ts - e	
2121	Bora	ʔóhʦʰɨɨ́	ʔóhʦʰɨɨ́	hand	ʔ !ó/o h tsʰ ɨ !ɨ́/ɨ	816		- ʔ !ó/o h tsʰ ɨ !ɨ́/ɨ	
2122	Muinane	úse	úse	hand	!ú/u s e	816		- - !ú/u - s - e	
2624	AchuarShiwiar	ũwé̃j	ũwé̃j	hand	!ũ/u w !é̃/ɨ h	815		!ũ/u w !é̃/ɨ h -	
2768	Andoa	awashí	awashí	hand	a w a ʃ !í/i	816		a w a - ʃ - !í/i	
2941	Juri	tschu-enóo	tschu-enóo	hand	dʒ u e n !ó/o o	823		dʒ u e n !ó/o o	Martius: manus
2942	Juri	su-unóo	su-unóo	hand	s u u n !ó/o o	823		s u u n !ó/o o	Martius: manus
2943	Juri	(tcho) upumáu	upumáu	hand	u p u m !á/a u	836		u p u m !á/a u	Martius: manus
3056	Coeruna	cunia	cunia	hand	k u n i a	821		k u n - i - a	Martius: manus
3106	Pebas	vinitaily	vinitaily	hand	v i n i t ai l j	826		v i n i t ai l j	Martius: manus
3152	MiranhaCarapana-Tapuya	ganoagá	ganoagá	hand	g a n o a g !á/a	821		g a n o a g !á/a	Martius: manus
3247	Shiwilu	itekla	itekla	hand	i tˀ ə k l a	828		i tˀ ə k l a	
3427	Shuar	eweje	eweje	hand	ɨ w ɨ h ɨ	815		ɨ w ɨ h ɨ	
3554	Chibito	nūl	nūl	hand	n !ū/u l	820		n !ū/u l	Tessmann: Hand
3574	Omurano	(a)na̯óra	na̯óra	hand	n !a̯/a !ó/o r a	825		n !a̯/a !ó/o r a	Tessmann: Hand
3634	Tequiraca	akokī́wǎ	akokī́wǎ	hand	a k o k !ī́/i w !ǎ/a	830		a k o k !ī́/i w !ǎ/a	Tessmann: Hand
3740	Urarina	bihí	bihí	hand	b i h !í/i	831		b i h !í/i	
3966	Wampis	ewej	ewej	hand	e w e h	815		e w e h -	
4113	Yagua	jomutu	jomutu	hand	h o m u t u	833		h o m u t u	
4298	Yanesha	otats / ʎot / not / pʲot / sot	otats	hand	o t a ts	834		o t a ts	
4299	Yanesha	otats / ʎot / not / pʲot / sot	ʎot	hand	ʎ o t	835		ʎ o t	
4300	Yanesha	otats / ʎot / not / pʲot / sot	not	hand	n o t	835		n o t	
4301	Yanesha	otats / ʎot / not / pʲot / sot	pʲot	hand	pʲ o t	835		pʲ o t	
4302	Yanesha	otats / ʎot / not / pʲot / sot	sot	hand	s o t	835		s o t	
4521	Zaparo	kuruha	kuruha	hand	k u r u h a	822		k u r u h a	
#
67	Iquito	nu=	nu=	he	n u	837		n u	he
288	Ocaina	aʔiim̥a	aʔiim̥a	he	a ʔ iː m̥ a	841		a ʔ iː m̥ - a	
289	Ocaina	ɯɯm̥a	ɯɯm̥a	he	ɯː m̥ a	841		- - ɯː m̥ - a	
290	Ocaina	ĩĩbã	ĩĩbã	he	!ĩ/i !ĩ/i b !ã/a	845		!ĩ/i !ĩ/i b !ã/a	
291	Ocaina	ha	ha	he	h a	846		h a	
509	Resigaro	tsú	tsú	he	td !ú/u	842		td !ú/u	
693	WitotoMinica	aɸémɯe	aɸémɯe	he	a ɸ !é/e m ɯ e	841		a ɸ !é/e m ɯ e	
910	WitotoMurui	imɯe	imɯe	he	i m ɯ e	841		- - i m ɯ e	
1116	WitotoNipode	apéma	apéma	he	a p !é/e m a	841		a p !é/e m - a	
1117	WitotoNipode	da	da	he	d a	842		d a	
2242	Proto-Bora-Muinane	aa-nɨɨ	aa-nɨɨ	he	a a n ɨ ɨ	838		- - a a n ɨ ɨ	
2243	Proto-Bora-Muinane	dii-bo	dii-bo	he	d i i b o	844		d i i b o	
2244	Bora	áánɯɯ́	áánɯɯ́	he	!á/a !á/a n ɯ !ɯ́/ɯ	838		- - !á/a !á/a n ɯ !ɯ́/ɯ	
2245	Bora	tií-pʲe	tií-pʲe	he	t i !í/i pʲ e	844		t i !í/i pʲ e	
2246	Muinane	áháanɨ	áháanɨ	he	!á/a h !á/a a n ɨ	838		!á/a h !á/a a n - ɨ	
2247	Muinane	díi-bo	díi-bo	he	d !í/i i b o	844		d !í/i i b o	
2625	AchuarShiwiar	ni,áu	ni	he	n i	837		n i	
2626	AchuarShiwiar	ni,áu	áu	he	!áu/au	843		!áu/au	
2820	Canichana	enxale	enxale	he	e n h a l e	839		e n h a l e	
2934	Juri	niy	niy	he	n i j	840		n i j	Martius: ille
3428	Shuar	au	au	he	au	843		au	masculine, the feminine form is: nii
3889	Wampis	ni	ni	he	n i	837		n i	
4159	Yagua	ni	ni	he	n i	837		n i	
4362	Yanesha	ɲa	ɲa	he	ɲ a	837		ɲ a	
4522	Zaparo	naw	naw	he	n au	837		n au	
#
68	Iquito	ánaka	ánaka	head	!á/a n a k a	848		!á/a n - a k a -	head
201	Ocaina	ooʔɸo	ooʔɸo	head	oː ʔ ɸ o	855		oː ʔ ɸ o	
453	Resigaro	híβeú	híβeú	head	h !í/i β e !ú/u	857		h !í/i β e !ú/u	
623	WitotoMinica	ɯɸókɯ	ɯɸókɯ	head	ɯ ɸ !ó/o k ɯ	862		ɯ ɸ !ó/o k ɯ	
845	WitotoMurui	ɯɸogɯ	ɯɸogɯ	head	ɯ ɸ o g ɯ	862		ɯ ɸ o g ɯ	
1055	WitotoNipode	ɯ́po	ɯ́po	head	!ɯ́/ɯ p o	862		!ɯ́/ɯ p o - -	
1302	Aguaruna	buuk	buuk	head	b ʊː k	847		b ʊː - k -	
1436	Arabela	naka	naka	head	n a k a	848		- n - a k a -	
1561	Candoshi-Shapra	mootʃo	mootʃo	head	m oː tʃ o	849		m oː tʃ o -	
1676	Chayahuita	motoʔ	motoʔ	head	m o t o ʔ	849		m o t o ʔ	
1801	Muniche	ukɨɾa	ukɨɾa	head	u k ɨ ɾ a	853		- u k ɨ ɾ - - a	
1916	Taushiro	nuʔ	nuʔ	head	n u ʔ	858		n u ʔ	
2023	Waorani	okabo	okabo	head	o k a b o	861		o k a b o	
2111	Proto-Bora-Muinane	niga-ɨ	niga-ɨ	head	n i g a ɨ	848		- n - i g a ɨ	
2112	Bora	nííkʷa-ɯ	nííkʷa-ɯ	head	n !í/i !í/i kʷ a ɯ	848		- n !í/i !í/i kʷ a ɯ	
2113	Muinane	níga-ɨ	níga-ɨ	head	n !í/i g a ɨ	848		- n - !í/i g a ɨ	
2627	AchuarShiwiar	múuk	múuk	head	m !úu/uː k	847		m !úu/uː - k -	
2769	Andoa	anaká	anaká	head	a n a k !á/a	848		a n - a k !á/a -	
2821	Canichana	eu-cucu	eu-cucu	head	e u k u k u	850		e u k u k u	eu = 1SG
2901	Juri	tschu-gerühó	tschu-gerühó	head	dʒ u g e ɾ ɨ ʔ !ó/o	853		dʒ u g e ɾ ɨ ʔ !ó/o	Martius: caput
2902	Juri	su-kiriu	su-kiriu	head	s u k i ɾ i u	853		s u k i ɾ i - u	Martius: caput
2903	Juri	(tcho) kireú	kireú	head	k i ɾ e !ú/u	853		- - k i ɾ e - !ú/u	Martius: caput
3039	Coeruna	copia	copia	head	k o p i a	852		k o p i a	Martius: caput
3094	Pebas	raino	raino	head	ɾ ai n o	849		ɾ ai n o -	Martius: caput
3136	MiranhaCarapana-Tapuya	göhóckö	göhóckö	head	g !ö/o ʔ !ó/o k !ö/o	854		g !ö/o ʔ !ó/o k !ö/o	Martius: caput
3248	Shiwilu	mutu’	mutu’	head	m u t u ʔ	849		m u t u ʔ	
3429	Shuar	múuka	múuka	head	m !úu/uː k a	847		m !úu/uː - k a	
3553	Chibito	sótša	sótša	head	s !ó/o tʃ a	851		s !ó/o tʃ a	Tessmann: Kopf
3573	Omurano	naneyalok	naneyalok	head	n a n e j a l o k	856		n a n e j a l o k	Tessmann: Kopf
3633	Tequiraca	awarēkě	awarēkě	head	a w a r !ē/e k !ě/e	859		a w a r !ē/e k !ě/e	Tessmann: Kopf
3708	Urarina	kuɨʰtɨɾ̺í	kuɨʰtɨɾ̺í	head	k u !ɨʰ/ɨ̤ t ɨ ɾ !̺í/i	860		k u !ɨʰ/ɨ̤ t ɨ ɾ !̺í/i	
3957	Wampis	muuke	muuke	head	m u u k e	847		m u u k e	muuke
4101	Yagua	no	no	head	n o	863		n o	
4281	Yanesha	poɲ	poɲ	head	p o ɲ	864		p o ɲ	
4523	Zaparo	anaka	anaka	head	a n a k a	848		a n - a k a -	
#
70	Iquito	akánataaja	akánataaja	heart	a k !á/a n a t aː h a	871		a k !á/a n a t aː h a	heart
214	Ocaina	xomɯ́ɯ́m̥õti	xomɯ́ɯ́m̥õti	heart	x o m !ɯ́ɯ́/ɯː m̥ !õ/o t i	874		x o m !ɯ́ɯ́/ɯː m̥ !õ/o t i	
462	Resigaro	βáɸoú	βáɸoú	heart	β !á/a ɸ o !ú/u	876		β !á/a ɸ o !ú/u	
639	WitotoMinica	komékɯ	komékɯ	heart	k o m !é/e k ɯ	880		k o m !é/e k ɯ	
857	WitotoMurui	komekɯ	komekɯ	heart	k o m e k ɯ	880		k o m e k ɯ	
1065	WitotoNipode	komékɯ	komékɯ	heart	k o m !é/e k ɯ	880		k o m !é/e k ɯ	
1304	Aguaruna	anɨntai	anɨntai	heart	a n ɨ n t ɛi	865		a n ɨ n t - ɛi	
1438	Arabela	j̃iuuj̃iatenu	j̃iuuj̃iatenu	heart	!h̃/h i uː !h̃/h i a t e n u	866		!h̃/h i uː !h̃/h i a t e n u	
1563	Candoshi-Shapra	maŋko	maŋko	heart	m a ŋ k o	868		m a ŋ k o	
1678	Chayahuita	ninopi	ninopi	heart	n i n o p i	870		n i n - o p i	
1803	Muniche	dɨseɾa	dɨseɾa	heart	d ɨ s e ɾ a	873		d ɨ s e ɾ a	
1918	Taushiro	aʔtantu	aʔtantu	heart	a ʔ t a n t u	877		a ʔ t a n t u	
2025	Waorani	bĩbõ	bĩbõ	heart	b !ĩ/i b !õ/o	879		b !ĩ/i b !õ/o	
2132	Proto-Bora-Muinane	heebɨ-ɨ	heebɨ-ɨ	heart	h e e b ɨ ɨ	867		h e e b ɨ ɨ	
2133	Bora	ɨ́ɨ́pɯ-ɯ	ɨ́ɨ́pɯ-ɯ	heart	!ɨ́/ɨ !ɨ́/ɨ p ɯ ɯ	867		- !ɨ́/ɨ !ɨ́/ɨ p ɯ ɯ	
2134	Muinane	héebɨ-ɨ	héebɨ-ɨ	heart	h !é/e e b ɨ ɨ	867		h !é/e e b ɨ ɨ	
2629	AchuarShiwiar	nintí	nintí	heart	n i n t !í/i	865		- n i n t - !í/i	Phonological alternation: inintí
2822	Canichana	eu-nimara	eu-nimara	heart	e u n i m a ɾ a	869		e u n i m a ɾ a	eu = 1SG
2909	Juri	su-mêniko	su-mêniko	heart	s u m !ê/e n i k o	872		s u m !ê/e n i k o	Martius: cor
3096	Pebas	caïshi	caïshi	heart	k a i ʃ i	875		k a i ʃ i	Martius: cor
3250	Shiwilu	dinlupi	dinlupi	heart	ð i n l u p i	870		ð i n l u p i	
3431	Shuar	anentái	anentái	heart	a n ɨ n t !ái/ei	865		a n ɨ n t - !ái/ei	
3818	Urarina	mũhũẽ́	mũhũẽ́	heart	m !ũ/u h !ũ/u !ẽ́/e	878		m !ũ/u h !ũ/u !ẽ́/e	
3972	Wampis	anentai	anentai	heart	a n e n t a i	865		a n e n t a i	
4114	Yagua	jachitadi	jachitadi	heart	h a tʃ i t a d i	881		h a tʃ i t a d i	
4303	Yanesha	ʎot͡ʃeret͡s	ʎot͡ʃeret͡s	heart	ʎ o tʃ e ɾ e ts	882		ʎ o tʃ e ɾ e ts	
4525	Zaparo	uihya	uihya	heart	u i hʲ a	883		u i hʲ a	
#
71	Iquito	iinana	iinana	heavy	iː n a n a	885		iː n a n - a	heavy
586	Resigaro	hiʒan̥iiʔ	hiʒan̥iiʔ	heavy	h i ʒ a n̥ iː ʔ	888		h i ʒ a n̥ iː ʔ	
798	WitotoMinica	mérede	mérede	heavy	m !é/e !r/ɾ e d e	892		m !é/e !r/ɾ e d e	
1005	WitotoMurui	merede	merede	heavy	m e r e d e	892		m e r e d e	
1210	WitotoNipode	mérede	mérede	heavy	m !é/e !r/ɾ e d e	892		m !é/e !r/ɾ e d e	
1305	Aguaruna	kihin	kihin	heavy	k i h i n	884		k i h i n	
1439	Arabela	niikwia	niikwia	heavy	n iː k i a	885		- n iː k i a	
1564	Candoshi-Shapra	kajaka	kajaka	heavy	k a j a k a	886		k a j a k a	
1679	Chayahuita	kɨkɨn	kɨkɨn	heavy	k ɨ k ɨ n	884		k ɨ k ɨ n	
1804	Muniche	hɨtsɨtsaʔa	hɨtsɨtsaʔa	heavy	h ɨ ts ɨ ts a ʔ a	887		h ɨ ts ɨ ts a ʔ a	
2630	AchuarShiwiar	kíjin	kíjin	heavy	k !í/i h i n	884		k !í/i h i n	Because of order of the entries: méram
3251	Shiwilu	kuer’a’su’	kuer’a’su’	heavy	kʷ ə ˀr a ʔ s u ʔ	889		kʷ ə ˀr a ʔ s u ʔ	
3432	Shuar	eméram	eméram	heavy	ɨ m !é/ɨ ɾ a m	890		ɨ m !é/ɨ ɾ a m	Because of order of entries, here are the variant: kijín
3768	Urarina	an̪ããĩʰt̪í	an̪ããĩʰt̪í	heavy	a n !̪ã/a !ã/a !ĩʰ/i̤ ∼ t !̪í/i	891		a n !̪ã/a !ã/a !ĩʰ/i̤ ∼ t !̪í/i	
