ID	CONCEPT_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOCODE	CONCEPT_CONCEPTICON_ID	COMMENT	FAMILY	SUBGROUP	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGID	COGIDS	ALIGNMENT	MORPHEMES	STRUCTURE
1929	49_fire	fire	Muniche	Muniche	tʃusɨ	tʃusɨ	tʃ u s ɨ		221		Muniche	Isolate	1 7 3 7	AXBZ	TYSI	15	15.T.C 15.Y.V 15.S.C 15.I.V	2.0 1.5 1.75 0.8	tʃusɨ	0	645	1026	tʃ u s ɨ	tʃ u s ɨ	c v c v
2050	49_fire	fire	Taushiro	Taushiro	hontoʔ	hontoʔ	h o n t o ʔ		221		Taushiro	Isolate	3 7 4 1 7 1	AXMBYN	HUNTUH	23	23.H.C 23.U.V 23.N.c 23.T.C 23.U.V 23.H.c	2.0 1.5 1.1 1.75 1.3 0.8	hontoʔ	0	651	1037	h o n t o ʔ	h o n t o ʔ	c v c c v c
2165	49_fire	fire	Waorani	Sabela	gõga	gõga	g o g a		221		Waorani	Isolate	1 7 1 7	AXBZ	KUKA	28	28.K.C 28.U.V 28.K.C 28.A.V	2.0 1.5 1.75 0.8	goga	0	654	1020	g o g a	g o g a	c v c v
2338	49_fire	fire	Bora	Bora	kʰɯ́ɯ́hɯ-kʷa	kʰɯ́ɯ́hɯ-kʷa	kʰ ɯ ɯ h ɯ + kʷ a		221		Boran	Boran	1 7 7 3 7 9 1 7	AXYBZ_AX	KIIHI_KA	5	5.K.C 5.I.V 5.I.V 5.H.C 5.I.V 5._._ 5.K.C 5.A.V	2.0 1.5 1.3 1.75 0.8 0.0 2.0 1.5	kʰɯɯhɯ+kʷa	0	637	1022 1023	kʰ ɯ ɯ h ɯ + kʷ a -	kʰ ɯ ɯ h ɯ + kʷ a	c v v c v + c v
2339	49_fire	fire	Muinane	Muinane	kɨ́ɨhɨ-gai	kɨ́ɨhɨ-gai	k ɨ ɨ h ɨ + g a i		221		Boran	Boran	1 7 7 3 7 9 1 7 7	AXYBZ_AXZ	KIIHI_KAI	14	14.K.C 14.I.V 14.I.V 14.H.C 14.I.V 14._._ 14.K.C 14.A.V 14.I.V	2.0 1.5 1.3 1.75 0.8 0.0 2.0 1.5 0.8	kɨɨhɨ+gai	0	637	1022 1023	k ɨ ɨ h ɨ + g a i	k ɨ ɨ h ɨ + g a i	c v v c v + c v v
2781	49_fire	fire	AchuarShiwiar	Achuar	ji	ji	h i		221		Chicham	Chicham	3 7	AX	HI	1	1.H.C 1.I.V	2.0 1.5	hi	0	634	1019	h i	h i	c v
3406	49_fire	fire	Shiwilu	Jebero	pen	pen	pˀ ə n		221		Cahuapanan	Cahuapanan	1 7 4	AXN	PEN	21	21.P.C 21.E.V 21.N.c	2.0 1.5 0.8	pˀən	0	650	1027	pˀ ə n	pˀ ə n	c v c
3584	49_fire	fire	Shuar	Shuar	ji	ji	h i		221		Chicham	Chicham	3 7	AX	HI	22	22.H.C 22.I.V	2.0 1.5	hi	1	634	1019	h i	h i	c v
3877	49_fire	fire	Urarina	Urarina	iʰs̪í	iʰs̪í	i̤ s i		221		Urarina	Isolate	7 3 7	XBZ	ISI	26	26.I.V 26.S.C 26.I.V	1.5 1.75 0.8	i̤si	0	653	1039	i̤ s i	i̤ s i	v c v
4214	49_fire	fire	Wampis	Huambisa	jii	jii	h iː		221		Chicham	Chicham	3 7	AX	HI	27	27.H.C 27.I.V	2.0 1.5	hiː	1	634	1019	h iː	h iː	c v
4313	49_fire	fire	Yagua	Yagua	jida	jida	h i d a		221		Peba-Yagua	Peba-Yagua	3 7 1 7	AXBZ	HITA	32	32.H.C 32.I.V 32.T.C 32.A.V	2.0 1.5 1.75 0.8	hida	0	656	1041	h i d a	h i d a	c v c v
4523	49_fire	fire	Yanesha	Yanesha'	tsoˀ	tsoˀ	ts o ʔ		221		Arawakan	Arawakan	2 7 1	AXN	CUH	34	34.C.C 34.U.V 34.H.c	2.0 1.5 0.8	tsoʔ	0	658	1043	ts o ʔ	ts o ʔ	c v c
51	50_fish	fish	Iquito	Iquito	paápaaraja	paápaaraja	p aː p aː r a h a		227	fish (general term)	Zaparoan	Zaparoan	1 7 1 7 5 7 3 7	AXBYBYBZ	PAPARAHA	11	11.P.C 11.A.V 11.P.C 11.A.V 11.R.C 11.A.V 11.H.C 11.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	paːpaːraha	0	665	1066	p aː p aː r a h a	p aː p aː r a h a	c v c v c v c v
229	50_fish	fish	Ticuna	Ticuna	chóʼni̋	chóʼni̋	tɕ o ʔ n i		227	fish	Ticuna-Yuri	Ticuna-Yuri	2 7 1 4 7	AXBCZ	CUHNI	25	25.C.C 25.U.V 25.H.C 25.N.C 25.I.V	2.0 1.5 1.75 1.5 0.8	tɕoʔni	0	671	1072	tɕ o ʔ n i	tɕ o ʔ n i	c v c c v
388	50_fish	fish	Ocaina	Ocaina	ĩhããm̥a	ĩhããm̥a	i h aː m̥ a		227		Huitotoan	Huitotoan	7 3 7 4 7	XBYBZ	IHAMA	16	16.I.V 16.H.C 16.A.V 16.M.C 16.A.V	1.5 1.75 1.3 1.75 0.8	ihaːm̥a	0	668	1069	i h aː m̥ a	i h aː m̥ a	v c v c v
618	50_fish	fish	Resigaro	Resígaro	ámoogí	ámoogí	a m oː g i		227		Arawakan	Arawakan	7 4 7 1 7	XBYBZ	AMUKI	20	20.A.V 20.M.C 20.U.V 20.K.C 20.I.V	1.5 1.75 1.3 1.75 0.8	amoːgi	0	669	1070	a m oː g i	a m oː g i	v c v c v
799	50_fish	fish	WitotoMinica	Minica Huitoto	ʤɯ́kɯaɯ	ʤɯ́kɯaɯ	dʒ ɯ k ɯ aɯ		227		Huitotoan	Huitotoan	1 7 1 7 7	AXBYZ	TIKIA	29	29.T.C 29.I.V 29.K.C 29.I.V 29.A.V	2.0 1.5 1.75 1.3 0.8	dʒɯkɯaɯ	0	674	1075	dʒ ɯ k ɯ aɯ	dʒ ɯ k ɯ aɯ	c v c v v
1017	50_fish	fish	WitotoMurui	Murui Huitoto	ʤɯkɯaɯ	ʤɯkɯaɯ	dʒ ɯ k ɯ aɯ		227		Huitotoan	Huitotoan	1 7 1 7 7	AXBYZ	TIKIA	30	30.T.C 30.I.V 30.K.C 30.I.V 30.A.V	2.0 1.5 1.75 1.3 0.8	dʒɯkɯaɯ	0	674	1075	dʒ ɯ k ɯ aɯ	dʒ ɯ k ɯ aɯ	c v c v v
1223	50_fish	fish	WitotoNipode	Nüpode Huitoto	ahumado	ahumado	a h u m a d o		227		Huitotoan	Huitotoan	7 3 7 4 7 1 7	XBYBYBZ	AHYMATU	31	31.A.V 31.H.C 31.Y.V 31.M.C 31.A.V 31.T.C 31.U.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	ahumado	0	675	1076	a h u m a d o	a h u m a d o	v c v c v c v
1224	50_fish	fish	WitotoNipode	Nüpode Huitoto	ʧámu	ʧámu	tʃ a m u		227		Huitotoan	Huitotoan	1 7 4 7	AXBZ	TAMY	31	31.T.C 31.A.V 31.M.C 31.Y.V	2.0 1.5 1.75 0.8	tʃamu	0	678	1079	tʃ a m u	tʃ a m u	c v c v
1421	50_fish	fish	Aguaruna	Aguaruna	namak	namak	n a m a k		227		Chicham	Chicham	4 7 4 7 1	AXBYN	NAMAK	2	2.N.C 2.A.V 2.M.C 2.A.V 2.K.c	2.0 1.5 1.75 1.3 0.8	namak	0	661	1061	n a m a k	n a m a k	c v c v c
1559	50_fish	fish	Arabela	Arabela	sapitiaaj̃a	sapitiaaj̃a	s a p i t i aː h a		227		Zaparoan	Zaparoan	3 7 1 7 1 7 7 3 7	AXBYBYYBZ	SAPITIAHA	4	4.S.C 4.A.V 4.P.C 4.I.V 4.T.C 4.I.V 4.A.V 4.H.C 4.A.V	2.0 1.5 1.75 1.3 1.75 1.3 1.3 1.75 0.8	sapitiaːha	0	663	1063	s a p i t i aː h a	s a p i t i aː h a	c v c v c v v c v
1802	50_fish	fish	Chayahuita	Shawi	sami	sami	s a m i		227		Cahuapanan	Cahuapanan	3 7 4 7	AXBZ	SAMI	8	8.S.C 8.A.V 8.M.C 8.I.V	2.0 1.5 1.75 0.8	sami	0	661	1061	s a m i -	s a m i	c v c v
1930	50_fish	fish	Muniche	Muniche	ima	ima	i m a		227		Muniche	Isolate	7 4 7	XBZ	IMA	15	15.I.V 15.M.C 15.A.V	1.5 1.75 0.8	ima	0	667	1068	i m a	i m a	v c v
2166	50_fish	fish	Waorani	Sabela	gæjæ	gæjæ	g æ j æ		227		Waorani	Isolate	1 7 6 7	AXBZ	KEJE	28	28.K.C 28.E.V 28.J.C 28.E.V	2.0 1.5 1.75 0.8	gæjæ	0	673	1074	g æ j æ	g æ j æ	c v c v
2782	50_fish	fish	AchuarShiwiar	Achuar	namák	namák	n a m a k		227		Chicham	Chicham	4 7 4 7 1	AXBYN	NAMAK	1	1.N.C 1.A.V 1.M.C 1.A.V 1.K.c	2.0 1.5 1.75 1.3 0.8	namak	0	661	1061	n a m a k	n a m a k	c v c v c
3407	50_fish	fish	Shiwilu	Jebero	samer	samer	s a m ə ɾ		227		Cahuapanan	Cahuapanan	3 7 4 7 5	AXBYN	SAMER	21	21.S.C 21.A.V 21.M.C 21.E.V 21.R.c	2.0 1.5 1.75 1.3 0.8	saməɾ	0	661	1061	s a m ə ɾ	s a m ə ɾ	c v c v c
3585	50_fish	fish	Shuar	Shuar	jarump’	jarump’	h a ɾ u m p i		227	Because of order of entries, here are the variants: kasur,kuserú	Chicham	Chicham	3 7 5 7 4 1 7	AXBYMBZ	HARYMPI	22	22.H.C 22.A.V 22.R.C 22.Y.V 22.M.c 22.P.C 22.I.V	2.0 1.5 1.75 1.3 1.1 1.75 0.8	haɾumpi	0	670	1071	h a ɾ u m p i	h a ɾ u m p i	c v c v c c v
3882	50_fish	fish	Urarina	Urarina	aʰt̪é	aʰt̪é	a̤ t e		227		Urarina	Isolate	7 1 7	XBZ	ATE	26	26.A.V 26.T.C 26.E.V	1.5 1.75 0.8	a̤te	0	672	1073	a̤ t e	a̤ t e	v c v
4105	50_fish	fish	Wampis	Huambisa	namak	namak	n a m a k		227		Chicham	Chicham	4 7 4 7 1	AXBYN	NAMAK	27	27.N.C 27.A.V 27.M.C 27.A.V 27.K.c	2.0 1.5 1.75 1.3 0.8	namak	0	661	1061	n a m a k	n a m a k	c v c v c
4261	50_fish	fish	Yagua	Yagua	kïwa̠	kïwa̠	k i w a		227		Peba-Yagua	Peba-Yagua	1 7 6 7	AXBZ	KIWA	32	32.K.C 32.I.V 32.W.C 32.A.V	2.0 1.5 1.75 0.8	kiwa	0	676	1077	k i w a	k i w a	c v c v
4262	50_fish	fish	Yagua	Yagua	kïwa_denu	kïwa_denu	k i w a + d e n u		227		Peba-Yagua	Peba-Yagua	1 7 6 7 9 1 7 4 7	AXBZ_AXBZ	KIWA_TENY	32	32.K.C 32.I.V 32.W.C 32.A.V 32._._ 32.T.C 32.E.V 32.N.C 32.Y.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5 1.75 0.8	kiwa+denu	0	676	1077 1080	k i w a + d e n u	k i w a + d e n u	c v c v + c v c v
4448	50_fish	fish	Yanesha	Yanesha'	kak	kak	k a k		227		Arawakan	Arawakan	1 7 1	AXN	KAK	34	34.K.C 34.A.V 34.K.c	2.0 1.5 0.8	kak	0	676	1077	k a k -	k a k	c v c
411	51_five	five	Ocaina	Ocaina	tʲaʔɸɯ́ɯ́ɸoroʔ	tʲaʔɸɯ́ɯ́ɸoroʔ	tʲ a ʔ ɸ ɯː ɸ o r o ʔ		493		Huitotoan	Huitotoan	1 7 1 3 7 3 7 5 7 1	AXBCYBYBYN	TAHBIBURUH	16	16.T.C 16.A.V 16.H.C 16.B.C 16.I.V 16.B.C 16.U.V 16.R.C 16.U.V 16.H.c	2.0 1.5 1.75 1.5 1.3 1.75 1.3 1.75 1.3 0.8	tʲaʔɸɯːɸoroʔ	0	687	1103	tʲ a ʔ ɸ ɯː ɸ o r o ʔ	tʲ a ʔ ɸ ɯː ɸ o r o ʔ	c v c c v c v c v c
635	51_five	five	Resigaro	Resígaro	sáʔosí	sáʔosí	s a ʔ o s i		493		Arawakan	Arawakan	3 7 1 7 3 7	AXBYBZ	SAHUSI	20	20.S.C 20.A.V 20.H.C 20.U.V 20.S.C 20.I.V	2.0 1.5 1.75 1.3 1.75 0.8	saʔosi	0	690	1107	s a ʔ o s i	s a ʔ o s i	c v c v c v
819	51_five	five	WitotoMinica	Minica Huitoto	hubekuiro	hubekuiro	h u b e k ui ɾ o		493		Huitotoan	Huitotoan	3 7 1 7 1 7 5 7	AXBYBYBZ	HYPEKYRU	29	29.H.C 29.Y.V 29.P.C 29.E.V 29.K.C 29.Y.V 29.R.C 29.U.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	hubekuiɾo	0	695	1113	h u b e k ui ɾ o	h u b e k ui ɾ o	c v c v c v c v
1036	51_five	five	WitotoMurui	Murui Huitoto	dabekuiro	dabekuiro	d a b e k ui r o		493		Huitotoan	Huitotoan	1 7 1 7 1 7 5 7	AXBYBYBZ	TAPEKYRU	30	30.T.C 30.A.V 30.P.C 30.E.V 30.K.C 30.Y.V 30.R.C 30.U.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	dabekuiro	0	695	1113	d a b e k ui r o	d a b e k ui r o	c v c v c v c v
1242	51_five	five	WitotoNipode	Nüpode Huitoto	hubéba	hubéba	h u b e b a		493		Huitotoan	Huitotoan	3 7 1 7 1 7	AXBYBZ	HYPEPA	31	31.H.C 31.Y.V 31.P.C 31.E.V 31.P.C 31.A.V	2.0 1.5 1.75 1.3 1.75 0.8	hubeba	0	696	1114	h u b e b a	h u b e b a	c v c v c v
1422	51_five	five	Aguaruna	Aguaruna	uwɨha_amua	uwɨha_amua	ʊ w ɨ h a + a m ʊ a		493		Chicham	Chicham	7 6 7 3 7 9 7 4 7 7	XBYBZ_XBYZ	YWIHA_AMYA	2	2.Y.V 2.W.C 2.I.V 2.H.C 2.A.V 2._._ 2.A.V 2.M.C 2.Y.V 2.A.V	1.5 1.75 1.3 1.75 0.8 0.0 1.5 1.75 1.3 0.8	ʊwɨha+amʊa	0	680	1091 1093	ʊ w ɨ h - a + a m ʊ a	ʊ w ɨ h a + a m ʊ a	v c v c v + v c v v
1689	51_five	five	Candoshi-Shapra	Candoshi-Shapra	kowiʂ_ptʃiaɾo	kowiʂ_ptʃiaɾo	k o w i ʂ + p tʃ i a ɾ o		493		Candoshi-Shapra	Isolate	1 7 6 7 3 9 1 1 7 7 5 7	AXBYN_ACYYBZ	KUWIS_PTIARU	6	6.K.C 6.U.V 6.W.C 6.I.V 6.S.c 6._._ 6.P.C 6.T.C 6.I.V 6.A.V 6.R.C 6.U.V	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 1.3 1.3 1.75 0.8	kowiʂ+ptʃiaɾo	0	682	1096 1097	k o w i ʂ + p tʃ i a ɾ o	k o w i ʂ + p tʃ i a ɾ o	c v c v c + c c v v c v
1803	51_five	five	Chayahuita	Shawi	aʔnatɨɾapoʔ	aʔnatɨɾapoʔ	a ʔ n a t ɨ ɾ a p o ʔ		493		Cahuapanan	Cahuapanan	7 1 4 7 1 7 5 7 1 7 1	XBCYBYBYBYN	AHNATIRAPUH	8	8.A.V 8.H.C 8.N.C 8.A.V 8.T.C 8.I.V 8.R.C 8.A.V 8.P.C 8.U.V 8.H.c	1.5 1.75 1.5 1.3 1.75 1.3 1.75 1.3 1.75 1.3 0.8	aʔnatɨɾapoʔ	0	683	1098	a ʔ n a t ɨ ɾ a p o ʔ	a ʔ n a t ɨ ɾ a p o ʔ	v c c v c v c v c v c
1931	51_five	five	Muniche	Muniche	tsaaʃowa	tsaaʃowa	ts a a ʃ o w a		493		Muniche	Isolate	2 7 7 3 7 6 7	AXYBYBZ	CAASUWA	15	15.C.C 15.A.V 15.A.V 15.S.C 15.U.V 15.W.C 15.A.V	2.0 1.5 1.3 1.75 1.3 1.75 0.8	tsaaʃowa	0	686	1102	ts a a ʃ o w a	ts a a ʃ o w a	c v v c v c v
2051	51_five	five	Taushiro	Taushiro	uʔkontawa	uʔkontawa	u ʔ k o n t a w a		493		Taushiro	Isolate	7 1 1 7 4 1 7 6 7	XMBYMBYBZ	YHKUNTAWA	23	23.Y.V 23.H.c 23.K.C 23.U.V 23.N.c 23.T.C 23.A.V 23.W.C 23.A.V	1.5 1.1 1.75 1.3 1.1 1.75 1.3 1.75 0.8	uʔkontawa	0	692	1109	u ʔ k o n t a w a	u ʔ k o n t a w a	v c c v c c v c v
2167	51_five	five	Waorani	Sabela	õdõpo_æ̃bæ̃poke	õdõpo_æ̃bæ̃poke	o d o p o + æ b æ p o k e		493		Waorani	Isolate	7 1 7 1 7 9 7 1 7 1 7 1 7	XBYBZ_XBYBYBZ	UTUPU_EPEPUKE	28	28.U.V 28.T.C 28.U.V 28.P.C 28.U.V 28._._ 28.E.V 28.P.C 28.E.V 28.P.C 28.U.V 28.K.C 28.E.V	1.5 1.75 1.3 1.75 0.8 0.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	odopo+æbæpoke	0	694	1111 1112	o d o p o + æ b æ p o k e	o d o p o + æ b æ p o k e	v c v c v + v c v c v c v
2407	51_five	five	Bora	Bora	ʦʰá-ʔohʦʰɨ́	ʦʰá-ʔohʦʰɨ́	tsʰ a + ʔ o h tsʰ ɨ		493		Boran	Boran	2 7 9 1 7 3 2 7	AX_AXMBZ	CA_HUHCI	5	5.C.C 5.A.V 5._._ 5.H.C 5.U.V 5.H.c 5.C.C 5.I.V	2.0 1.5 0.0 2.0 1.5 1.1 1.75 0.8	tsʰa+ʔohtsʰɨ	0	681	1094 1095	tsʰ a + ʔ o h tsʰ ɨ	tsʰ a + ʔ o h tsʰ ɨ	c v + c v c c v
2408	51_five	five	Muinane	Muinane	sa-ʔúse	sa-ʔúse	s a + ʔ u s e		493		Boran	Boran	3 7 9 1 7 3 7	AX_AXBZ	SA_HYSE	14	14.S.C 14.A.V 14._._ 14.H.C 14.Y.V 14.S.C 14.E.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	sa+ʔuse	0	681	1094 1095	s a + ʔ u - s e	s a + ʔ u s e	c v + c v c v
2783	51_five	five	AchuarShiwiar	Achuar	jũ ũwé̃jka mash	jũ ũwé̃jka mash	h u + u w ɨ h k a + m a ʃ		493		Chicham	Chicham	3 7 9 7 6 7 3 1 7 9 4 7 3	AX_XBYMBZ_AXN	HY_YWIHKA_MAS	1	1.H.C 1.Y.V 1._._ 1.Y.V 1.W.C 1.I.V 1.H.c 1.K.C 1.A.V 1._._ 1.M.C 1.A.V 1.S.c	2.0 1.5 0.0 1.5 1.75 1.3 1.1 1.75 0.8 0.0 2.0 1.5 0.8	hu+uwɨhka+maʃ	0	679	1090 1091 1092	h u + u w ɨ h k a + m a ʃ	h u + u w ɨ h k a + m a ʃ	c v + v c v c c v + c v c
3408	51_five	five	Shiwilu	Jebero	alei’teklun	alei’teklun	a l ə i ʔ tˀ ə k l u n		493		Cahuapanan	Cahuapanan	7 5 7 7 1 1 7 1 5 7 4	XBYYMBYBCYN	ALEIHTEKLYN	21	21.A.V 21.L.C 21.E.V 21.I.V 21.H.c 21.T.C 21.E.V 21.K.C 21.L.C 21.Y.V 21.N.c	1.5 1.75 1.3 1.3 1.1 1.75 1.3 1.75 1.5 1.3 0.8	aləiʔtˀəklun	0	691	1108	a l ə i ʔ tˀ ə k l u n	a l ə i ʔ tˀ ə k l u n	v c v v c c v c c v c
3954	51_five	five	Urarina	Urarina	s̪aukí	s̪aukí	s a u k i		493		Urarina	Isolate	3 7 7 1 7	AXYBZ	SAYKI	26	26.S.C 26.A.V 26.Y.V 26.K.C 26.I.V	2.0 1.5 1.3 1.75 0.8	sauki	0	693	1110	s a u k i	s a u k i	c v v c v
4085	51_five	five	Wampis	Huambisa	uwej amua	uwej amua	u w e h + a m u a		493		Chicham	Chicham	7 6 7 3 9 7 4 7 7	XBYN_XBYZ	YWEH_AMYA	27	27.Y.V 27.W.C 27.E.V 27.H.c 27._._ 27.A.V 27.M.C 27.Y.V 27.A.V	1.5 1.75 1.3 0.8 0.0 1.5 1.75 1.3 0.8	uweh+amua	0	680	1091 1093	u w e h - - + a m u a	u w e h + a m u a	v c v c + v c v v
4430	51_five	five	Yagua	Yagua	tadajyo	tadajyo	t a d a h j o		493		Peba-Yagua	Peba-Yagua	1 7 1 7 3 6 7	AXBYBCZ	TATAHJU	32	32.T.C 32.A.V 32.T.C 32.A.V 32.H.C 32.J.C 32.U.V	2.0 1.5 1.75 1.3 1.75 1.5 0.8	tadahjo	0	697	1115	t a d a h j o	t a d a h j o	c v c v c c v
4648	51_five	five	Yanesha	Yanesha'	amnar	amnar	a m n a ɾ		493		Arawakan	Arawakan	7 4 4 7 5	XMBYN	AMNAR	34	34.A.V 34.M.c 34.N.C 34.A.V 34.R.c	1.5 1.1 1.75 1.3 0.8	amnaɾ	0	699	1117	a m n a ɾ	a m n a ɾ	v c c v c
55	54_flower	flower	Iquito	Iquito	itiyɨki	itiyɨki	i t i j ɨ k i		239	a flower	Zaparoan	Zaparoan	7 1 7 6 7 1 7	XBYBYBZ	ITIJIKI	11	11.I.V 11.T.C 11.I.V 11.J.C 11.I.V 11.K.C 11.I.V	1.5 1.75 1.3 1.75 1.3 1.75 0.8	itijɨki	0	707	1134	i t i j ɨ k i	i t i j ɨ k i	v c v c v c v
392	54_flower	flower	Ocaina	Ocaina	tsĩ́ĩ́	tsĩ́ĩ́	ts iː		239		Huitotoan	Huitotoan	2 7	AX	CI	16	16.C.C 16.I.V	2.0 1.5	tsiː	0	711	1138	ts iː	ts iː	c v
622	54_flower	flower	Resigaro	Resígaro	giiβí	giiβí	g iː β i		239		Arawakan	Arawakan	1 7 3 7	AXBZ	KIBI	20	20.K.C 20.I.V 20.B.C 20.I.V	2.0 1.5 1.75 0.8	giːβi	0	713	1140	g iː β i	g iː β i	c v c v
803	54_flower	flower	WitotoMinica	Minica Huitoto	θáɸia	θáɸia	θ a ɸ i a		239		Huitotoan	Huitotoan	3 7 3 7 7	AXBYZ	DABIA	29	29.D.C 29.A.V 29.B.C 29.I.V 29.A.V	2.0 1.5 1.75 1.3 0.8	θaɸia	0	704	1130	θ a ɸ i a	θ a ɸ i a	c v c v v
1021	54_flower	flower	WitotoMurui	Murui Huitoto	θaɸia	θaɸia	θ a ɸ i a		239		Huitotoan	Huitotoan	3 7 3 7 7	AXBYZ	DABIA	30	30.D.C 30.A.V 30.B.C 30.I.V 30.A.V	2.0 1.5 1.75 1.3 0.8	θaɸia	0	704	1130	θ a ɸ i a	θ a ɸ i a	c v c v v
1228	54_flower	flower	WitotoNipode	Nüpode Huitoto	tápia	tápia	t a p i a		239		Huitotoan	Huitotoan	1 7 1 7 7	AXBYZ	TAPIA	31	31.T.C 31.A.V 31.P.C 31.I.V 31.A.V	2.0 1.5 1.75 1.3 0.8	tapia	0	704	1130	t a p i a	t a p i a	c v c v v
1229	54_flower	flower	WitotoNipode	Nüpode Huitoto	múʤiaʤeba	múʤiaʤeba	m u dʒ i a dʒ e b a		239		Huitotoan	Huitotoan	4 7 1 7 7 1 7 1 7	AXBYYBYBZ	MYTIATEPA	31	31.M.C 31.Y.V 31.T.C 31.I.V 31.A.V 31.T.C 31.E.V 31.P.C 31.A.V	2.0 1.5 1.75 1.3 1.3 1.75 1.3 1.75 0.8	mudʒiadʒeba	0	721	1148	m u dʒ i a dʒ e b a	m u dʒ i a dʒ e b a	c v c v v c v c v
1423	54_flower	flower	Aguaruna	Aguaruna	jagkug	jagkug	j a ŋ k ʊ ŋ		239		Chicham	Chicham	6 7 4 1 7 4	AXMBYN	JANKYN	2	2.J.C 2.A.V 2.N.c 2.K.C 2.Y.V 2.N.c	2.0 1.5 1.1 1.75 1.3 0.8	jaŋkʊŋ	0	702	1128	j a ŋ k ʊ ŋ -	j a ŋ k ʊ ŋ	c v c c v c
1560	54_flower	flower	Arabela	Arabela	ʃuu	ʃuu	ʃ uː		239		Zaparoan	Zaparoan	3 7	AX	SY	4	4.S.C 4.Y.V	2.0 1.5	ʃuː	0	703	1129	ʃ uː	ʃ uː	c v
1690	54_flower	flower	Candoshi-Shapra	Candoshi-Shapra	tʃapo	tʃapo	tʃ a p o		239		Candoshi-Shapra	Isolate	1 7 1 7	AXBZ	TAPU	6	6.T.C 6.A.V 6.P.C 6.U.V	2.0 1.5 1.75 0.8	tʃapo	0	704	1130	tʃ a p - o	tʃ a p o	c v c v
1804	54_flower	flower	Chayahuita	Shawi	yanko	yanko	j a n k o		239		Cahuapanan	Cahuapanan	6 7 4 1 7	AXMBZ	JANKU	8	8.J.C 8.A.V 8.N.c 8.K.C 8.U.V	2.0 1.5 1.1 1.75 0.8	janko	0	702	1128	j a n k o - -	j a n k o	c v c c v
1932	54_flower	flower	Muniche	Muniche	tʃatʃapɨʔɨ	tʃatʃapɨʔɨ	tʃ a tʃ a p ɨ ʔ ɨ		239		Muniche	Isolate	1 7 1 7 1 7 1 7	AXBYBYBZ	TATAPIHI	15	15.T.C 15.A.V 15.T.C 15.A.V 15.P.C 15.I.V 15.H.C 15.I.V	2.0 1.5 1.75 1.3 1.75 1.3 1.75 0.8	tʃatʃapɨʔɨ	0	710	1137	tʃ a tʃ a p ɨ ʔ ɨ	tʃ a tʃ a p ɨ ʔ ɨ	c v c v c v c v
2052	54_flower	flower	Taushiro	Taushiro	awanɨʔkɨ	awanɨʔkɨ	a w a n ɨ ʔ k ɨ		239		Taushiro	Isolate	7 6 7 4 7 1 1 7	XBYBYMBZ	AWANIHKI	23	23.A.V 23.W.C 23.A.V 23.N.C 23.I.V 23.H.c 23.K.C 23.I.V	1.5 1.75 1.3 1.75 1.3 1.1 1.75 0.8	awanɨʔkɨ	0	714	1141	a w a n ɨ ʔ k ɨ	a w a n ɨ ʔ k ɨ	v c v c v c c v
2168	54_flower	flower	Waorani	Sabela	õgaĩ	õgaĩ	o g a i		239		Waorani	Isolate	7 1 7 7	XBYZ	UKAI	28	28.U.V 28.K.C 28.A.V 28.I.V	1.5 1.75 1.3 0.8	ogai	0	716	1143	o g a i	o g a i	v c v v
2785	54_flower	flower	AchuarShiwiar	Achuar	yangkúr	yangkúr	j a ŋ k u r		239		Chicham	Chicham	6 7 4 1 7 5	AXMBYN	JANKYR	1	1.J.C 1.A.V 1.N.c 1.K.C 1.Y.V 1.R.c	2.0 1.5 1.1 1.75 1.3 0.8	jaŋkur	0	702	1128	j a ŋ k u r -	j a ŋ k u r	c v c c v c
3410	54_flower	flower	Shiwilu	Jebero	danku	danku	ð a n g u		239		Cahuapanan	Cahuapanan	3 7 4 1 7	AXMBZ	DANKY	21	21.D.C 21.A.V 21.N.c 21.K.C 21.Y.V	2.0 1.5 1.1 1.75 0.8	ðangu	0	702	1128	ð a n g u - -	ð a n g u	c v c c v
3588	54_flower	flower	Shuar	Shuar	yankuj’	yankuj’	j a ŋ k u h i		239		Chicham	Chicham	6 7 4 1 7 3 7	AXMBYBZ	JANKYHI	22	22.J.C 22.A.V 22.N.c 22.K.C 22.Y.V 22.H.C 22.I.V	2.0 1.5 1.1 1.75 1.3 1.75 0.8	jaŋkuhi	0	702	1128	j a ŋ k u h i	j a ŋ k u h i	c v c c v c v
