ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	SUBGROUP	ALIGNMENT	COGID	COGIDS	SOURCE	STRUCTURE
4119	Wampis	blood	numpa	numpa	n u m p a	None	Chicham	n u m p a	2374	422	Peña2023	C V C C V
1536	Arabela	bone	nukw	nukw	n u k u	None	Zaparoan	n u k u	2737	468	Johansson2021	C V C V
19	Iquito	bone	niiki	niiki	n iː k i	bone	Zaparoan	n iː k i	2737	468	Michael2022	C V C V
3336	MiranhaCarapana-Tapuya	bone	nackóo	nackóo	n a k o.o	Martius: os, ossis	Huitotoan	n a k o.o	2737	468	Martius1867	C V C V
4670	Zaparo	bone	uku	uku	u k u	None	Zaparoan	- u k u	2737	468	Beier2014	V C V
2747	AchuarShiwiar	bone	kúnch	ukúnch	u k u n tʃ	Phonological alternation: kúnch	Chicham	u k u n tʃ	2735	467	Fast2008	V C V C C
1399	Aguaruna	bone	ukuntʃ	ukuntʃ	ʊ k ʊ n tʃ	None	Chicham	ʊ k ʊ n tʃ	2735	467	Johansson2021	V C V C C
3556	Shuar	bone	ukunch’	ukunch’	u k u n tʃˀ	None	Chicham	u k u n tʃˀ	2735	467	Pellizzaro2005	V C V C C
4120	Wampis	bone	ukunch	ukunch	u k u n tʃ	None	Chicham	u k u n tʃ	2735	467	Peña2023	V C V C C
2299	Bora	bone	páhkʰɯɯ́	páhkʰɯɯ́	p a h kʰ ɯ.ɯ	None	Boran	p a h kʰ ɯ.ɯ	2747	469	Seifart2024	C V C C V
2300	Muinane	bone	bákkɨ	bákkɨ	b a k k ɨ	None	Boran	b a k k ɨ	2747	469	Seifart2024	C V C C V
2298	Proto-Bora-Muinane	bone	bakkɨ	bakkɨ	b a k k ɨ	None	Boran	b a k k ɨ	2747	469	Seifart2024	C V C C V
2750	AchuarShiwiar	child (young person rather than as relationship term)	úchi	úchi	u tʃ i	None	Chicham	u tʃ i	2959	502	Fast2008	V C V
4850	Aguaruna	child (young person rather than as relationship term)	utʃi	utʃi	u tʃ i	None	Chicham	u tʃ i	2959	502	Overall2007	V C V
3559	Shuar	child (young person rather than as relationship term)	uchi	uchi	u tʃ i	None	Chicham	u tʃ i	2959	502	Pellizzaro2005	V C V
4095	Wampis	child (young person rather than as relationship term)	uchi	uchi	u tʃ i	None	Chicham	u tʃ i	2959	502	Peña2023	V C V
838	WitotoMinica	cloud	úiʤɯe	úiʤɯe	ui dʒ ɯ + e	None	Huitotoan	ui dʒ ɯ + e	3179	534 2250	Huber2021	V C V + V
1054	WitotoMurui	cloud	uiʤɯe	uiʤɯe	ui dʒ ɯ + e	cloud-CLF:G	Huitotoan	ui dʒ ɯ + e	3179	534 2250	Huber2021	V C V + V
1260	WitotoNipode	cloud	úiʤɯe	úiʤɯe	ui dʒ ɯ + e	None	Huitotoan	ui dʒ ɯ + e	3179	534 2250	Huber2021	V C V + V
1401	Aguaruna	cloud	juhagkim	juhagkim	j ʊ h a ŋ k i m	None	Chicham	j ʊ h a ŋ k i m	3092	523	Johansson2021	C V C V C C V C
3560	Shuar	cloud	yuránkim	yuránkim	j u ɾ a ŋ k i m	None	Chicham	j u ɾ a ŋ k i m	3092	523	Pellizzaro2005	C V C V C C V C
4205	Wampis	cloud	yurankim	yurankim	j u r a n k i m	None	Chicham	j u r a n k i m	3092	523	Peña2023	C V C V C C V C
2752	AchuarShiwiar	cold (of weather)	tsetsék	tsetsék	ts ɨ ts ɨ k	None	Chicham	ts ɨ ts ɨ k	3261	546	Fast2008	C V C V C
