ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	FAMILY	COGID	COGIDS	MORPHEMES	BORROWING
3474	Shuar	river	entsa	entsa	ɨ n ts a		Chicham	0			
3853	Urarina	river	n̪ɨ̃ʰkɨᶭé	n̪ɨ̃ʰkɨᶭé	n !̪ɨ̃ʰ/ɨ̤ k !ɨᶭ/ɨ !é/e		Urarina	0			
4028	Wampis	river	entsa	entsa	e n ts a		Chicham	0			
4133	Yagua	river	nawa	nawa	n a w a		Peba-Yagua	0			
4331	Yanesha	river	ontáp / poɲés / onsás	ontáp	o n t !á/a p		Arawakan	0			
4332	Yanesha	river	ontáp / poɲés / onsás	poɲés	p o ɲ !é/e s		Arawakan	0			
4333	Yanesha	river	ontáp / poɲés / onsás	onsás	o n s !á/a s		Arawakan	0			
4559	Zaparo	river	murichaha	murichaha	m u r i tʃ a h a		Zaparoan	0			
115	Iquito	road (or trail)	amakɨ	amakɨ	a m a k ɨ		Zaparoan	0			
2677	AchuarShiwiar	road (or trail)	jínta	jínta	h !í/i n t a	Phonological alternation: jíntia	Chicham	0			
3295	Shiwilu	road (or trail)	dekkun	dekkun	ð ə ˀk k u n		Cahuapanan	0			
3475	Shuar	road (or trail)	jíntia	jíntia	h !í/i n t i a		Chicham	0			
3871	Urarina	road (or trail)	bed̪ú	bed̪ú	b e d !̪ú/u		Urarina	0			
4044	Wampis	road (or trail)	jinta	jinta	h i n t a		Chicham	0			
4143	Yagua	road (or trail)	nukï	nukï	n u k !ï/i		Peba-Yagua	0			
4346	Yanesha	road (or trail)	tʲoːɲ	tʲoːɲ	tʲ oː ɲ		Arawakan	0			
4560	Zaparo	road (or trail)	nu	nu	n u		Zaparoan	0			
116	Iquito	root	anija	anija	a n i h a	root (plant	Zaparoan	0			
266	Ocaina	root	tsiɲĩ́ĩ́ʔõɸe	tsiɲĩ́ĩ́ʔõɸe	ts i ɲ !ĩ́ĩ́/iː ʔ !õ/o ɸ e		Huitotoan	0			
267	Ocaina	root	tsiɲ̥ĩ́ĩ́ʔõʔko	tsiɲ̥ĩ́ĩ́ʔõʔko	ts i ɲ̥ !ĩ́ĩ́/iː ʔ !õ/o ʔ k o		Huitotoan	0			
495	Resigaro	root	tébaké	tébaké	t !é/e b a k !é/e		Arawakan	0			
676	WitotoMinica	root	háinao	háinao	h !á/a i n a o		Huitotoan	0			
894	WitotoMurui	root	hainao	hainao	h ai n a o		Huitotoan	0			
1102	WitotoNipode	root	háinao	háinao	h !á/a i n a o		Huitotoan	0			
1337	Aguaruna	root	kagkapɨ	kagkapɨ	k a ŋ k a p ɨ		Chicham	0			
1470	Arabela	root	nuj̃ua	nuj̃ua	n u !h̃/h u a		Zaparoan	0			
1708	Chayahuita	root	itɨʔ	itɨʔ	i t ɨ ʔ		Cahuapanan	0			
1831	Muniche	root	tʃahpɨ	tʃahpɨ	tʃ a h p ɨ		Muniche	0			
1942	Taushiro	root	oʔtintih	oʔtintih	o ʔ t i n t i h		Taushiro	0			
2050	Waorani	root	gæjæ̃bẽ	gæjæ̃bẽ	g æ j !æ̃/æ b !ẽ/e		Waorani	0			
2212	Proto-Bora-Muinane	root	bako-	bako-	b a k o			0			
2213	Bora	root	páhkʰʲeé	páhkʰʲeé	p !á/a h kʰʲ e !é/e		Boran	0			
2214	Muinane	root	bakóʔoko	bakóʔoko	b a k !ó/o ʔ o k o		Boran	0			
2678	AchuarShiwiar	root	kangkáp	kangkáp	k a ŋ k !á/a p		Chicham	0			
2985	Juri	root	näti	näti	n !ä/a t i	Martius: radix	Ticuna-Yuri	0			
3075	Coeruna	root	ahonauó	ahonauó	a ʔ o n a u !ó/o	Martius: radix	Huitotoan	0			
3115	Pebas	root	natay	natay	n a t a j	Martius: radix	Peba-Yagua	0			
3172	MiranhaCarapana-Tapuya	root	nahqui	nahqui	n a ʔ k i	Martius: radix	Huitotoan	0			
3296	Shiwilu	root	itek	itek	i tˀ ə k		Cahuapanan	0			
3476	Shuar	root	kankap	kankap	k a ŋ k a p		Chicham	0			
3609	Omurano	root	yálĕ'	yálĕ'	j !á/a l !ĕ/e	Tessmann: Wurzel	Omurano	0			
3686	Yameo	root	ṛasā́laṇ	ṛasā́laṇ	!ṛ/r a s !ā́/a l a !ṇ/n	Tessmann: Wurzel	Peba-Yagua	0			
3739	Urarina	root	hais̪í	hais̪í	h a i s !̪í/i		Urarina	0			
3943	Wampis	root	kankap	kankap	k a n k a p		Chicham	0			
4124	Yagua	root	nutijyu̠	nutijyu̠	n u t i h j !u̠/u		Peba-Yagua	0			
4316	Yanesha	root	poeɽet͡ʂ	poeɽet͡ʂ	p o e ɽ e tʂ		Arawakan	0			
4561	Zaparo	root	tapuka	tapuka	t a p u k a		Zaparoan	0			
117	Iquito	rope	iiyɨɨ	iiyɨɨ	iː j ɨː	rope or cord of any type	Zaparoan	0			
446	Ocaina	rope	ɲííʔoɸe	ɲííʔoɸe	ɲ !íí/iː ʔ o ɸ e		Huitotoan	0			
616	Resigaro	rope	hipon̥áuuʔó	hipon̥áuuʔó	h i p o n̥ !á/a uː ʔ !ó/o		Arawakan	0			
837	WitotoMinica	rope	ígaɯ	ígaɯ	!í/i g a ɯ		Huitotoan	0			
838	WitotoMinica	rope	rao	rao	!r/ɾ a o		Huitotoan	0			
1047	WitotoMurui	rope	igaɯ	igaɯ	i g aɯ		Huitotoan	0			
1048	WitotoMurui	rope	rao	rao	r a o		Huitotoan	0			
1253	WitotoNipode	rope	ígaɯ	ígaɯ	!í/i g a ɯ		Huitotoan	0			
1254	WitotoNipode	rope	rao	rao	!r/ɾ a o		Huitotoan	0			
1338	Aguaruna	rope	wasakɨa	wasakɨa	w a s a k ɨ a		Chicham	0			
1471	Arabela	rope	poʃijokwa	poʃijokwa	p o ʃ i h o k ua		Zaparoan	0			
1709	Chayahuita	rope	nonin	nonin	n o n i n		Cahuapanan	0			
1832	Muniche	rope	wɨhpɨ	wɨhpɨ	w ɨ h p ɨ		Muniche	0			
2051	Waorani	rope	gægĩkabẽ	gægĩkabẽ	g æ g !ĩ/i k a b !ẽ/e		Waorani	0			
2543	Proto-Bora-Muinane	rope	gaaiba-ɨ	gaaiba-ɨ	g a a i b a + ɨ			0			
2544	Bora	rope	kʷáápʲa-ɯ	kʷáápʲa-ɯ	kʷ !á/a !á/a pʲ a + ɯ		Boran	0			
2545	Muinane	rope	gáaiba-ɨ	gáaiba-ɨ	g !á/a a i b a + ɨ		Boran	0			
2679	AchuarShiwiar	rope	chápik	chápik	tʃ !á/a p i k		Chicham	0			
2906	Juri	rope	nepenöoli	nepenöoli	n e p e n !ö/o o l i	Martius: chorda	Ticuna-Yuri	0			
3297	Shiwilu	rope	ilallin	ilallin	i l a ʎ i n		Cahuapanan	0			
3477	Shuar	rope	chápic	chápic	tʃ !á/a p i k		Chicham	0			
3775	Urarina	rope	en̪ũũé	en̪ũũé	e n !̪ũ/u !ũ/u !é/e		Urarina	0			
3947	Wampis	rope	naek	naek	n a e k		Chicham	0			
4155	Yagua	rope	niriju̠	niriju̠	n i r i h !u̠/u		Peba-Yagua	0			
4358	Yanesha	rope	apetʂɾetʂ	apetʂɾetʂ	a p e tʂ ɾ e tʂ		Arawakan	0			
4562	Zaparo	rope	iyawka	iyawka	i j au k a		Zaparoan	0			
118	Iquito	rotten (especially log)	pukina	pukina	p u k i n a	rotten or decayed	Zaparoan	0			
590	Resigaro	rotten (especially log)	amaaʔkátsʰí	amaaʔkátsʰí	a m aː ʔ k !á/a tsʰ !í/i		Arawakan	0			
802	WitotoMinica	rotten (especially log)	rɯɸáide	rɯɸáide	!r/ɾ ɯ ɸ !á/a i d e		Huitotoan	0			
803	WitotoMinica	rotten (especially log)	θabíde	θabíde	θ a b !í/i d e		Huitotoan	0			
1009	WitotoMurui	rotten (especially log)	rɯɸaide	rɯɸaide	r ɯ ɸ ai d e		Huitotoan	0			
1010	WitotoMurui	rotten (especially log)	θabide	θabide	θ a b i d e		Huitotoan	0			
1214	WitotoNipode	rotten (especially log)	rɯ́paide	rɯ́paide	!r/ɾ !ɯ́/ɯ p a i d e		Huitotoan	0			
1215	WitotoNipode	rotten (especially log)	tabíde	tabíde	t a b !í/i d e		Huitotoan	0			
1339	Aguaruna	rotten (especially log)	kauhu	kauhu	k oʊ h ʊ		Chicham	0			
1472	Arabela	rotten (especially log)	mokweeka	mokweeka	m o k eː k a		Zaparoan	0			
1588	Candoshi-Shapra	rotten (especially log)	kotʃaaɾi	kotʃaaɾi	k o tʃ aː ɾ i		Candoshi-Shapra	0			
1710	Chayahuita	rotten (especially log)	tʃanatɨɾin	tʃanatɨɾin	tʃ a n a t ɨ ɾ i n		Cahuapanan	0			
1833	Muniche	rotten (especially log)	tʃtu	tʃtu	tʃ t u		Muniche	0			
1943	Taushiro	rotten (especially log)	iʔtʃantɨhɨ	iʔtʃantɨhɨ	i ʔ tʃ a n t ɨ h ɨ		Taushiro	0			
2052	Waorani	rotten (especially log)	jõbæ̃ĩ	jõbæ̃ĩ	j !õ/o b !æ̃/æ !ĩ/i		Waorani	0			
2468	Proto-Bora-Muinane	rotten (especially log)	tuukɨ-	tuukɨ-	t u u k ɨ			0			
2469	Bora	rotten (especially log)	tʰóókʰɯ-ne	tʰóókʰɯ-ne	tʰ !ó/o !ó/o kʰ ɯ + n e		Boran	0			
2470	Muinane	rotten (especially log)	túúkɨ-no	túúkɨ-no	t !ú/u !ú/u k ɨ + n o		Boran	0			
2680	AchuarShiwiar	rotten (especially log)	káuru	káuru	k !áu/au r u		Chicham	0			
2780	Andoa	rotten (especially log)	mokwashí	mokwashí	m o kʷ a ʃ !í/i		Zaparoan	0			
3478	Shuar	rotten (especially log)	kaúrma	kaúrma	k !aú/au ɾ m a		Chicham	0			
3823	Urarina	rotten (especially log)	s̪eʰt̪ɨn̪ã́ã	s̪eʰt̪ɨn̪ã́ã	s !̪eʰ/e̤ t ɨ n !̪ã́/a !ã/a		Urarina	0			
4059	Wampis	rotten (especially log)	kauru	kauru	k a u r u		Chicham	0			
4220	Yagua	rotten (especially log)	purya	purya	p u rʲ a		Peba-Yagua	0			
4431	Yanesha	rotten (especially log)	potsaɲ	potsaɲ	p o ts a ɲ		Arawakan	0			
4563	Zaparo	rotten (especially log)	mukaka	mukaka	m u k a k a		Zaparoan	0			
120	Iquito	salt	iisaja	iisaja	iː s a h a	salt	Zaparoan	0			
275	Ocaina	salt	hááidʲa	hááidʲa	h !áá/aː i dʲ a		Huitotoan	0			
500	Resigaro	salt	kanaamáʔo	kanaamáʔo	k a n aː m !á/a ʔ o		Arawakan	0			
501	Resigaro	salt	iíβí	iíβí	!ií/iː β !í/i		Arawakan	0			
683	WitotoMinica	salt	ɯ́aiθaɯ	ɯ́aiθaɯ	!ɯ́/ɯ a i θ a ɯ		Huitotoan	0			
901	WitotoMurui	salt	ɯaiθaɯ	ɯaiθaɯ	ɯ ai θ aɯ		Huitotoan	0			
1108	WitotoNipode	salt	ɯ́aitaɯ	ɯ́aitaɯ	!ɯ́/ɯ a i t a ɯ		Huitotoan	0			
2224	Proto-Bora-Muinane	salt	ɨmo	ɨmo	ɨ m o			0			
2225	Bora	salt	ɯ́me	ɯ́me	!ɯ́/ɯ m e		Boran	0			
2226	Muinane	salt	ɨ́muʔu	ɨ́muʔu	!ɨ́/ɨ m u ʔ u		Boran	0			
2682	AchuarShiwiar	salt	wee	wee	w ɨː		Chicham	0			
2781	Andoa	salt	ichojá	ichojá	i tʃ o h !á/a		Zaparoan	0			
2845	Canichana	salt	ne-ulucu	ne-ulucu	n e + u l u k u	ni = ABS	Canichana	0			
3299	Shiwilu	salt	damula	damula	ð a m u l a		Cahuapanan	0			
3480	Shuar	salt	wee	wee	w ɨ ɨ	This is the term for sa; (de vertiente Amazonica). Here is the name for sal (del mar): kachi	Chicham	0			
3799	Urarina	salt	t̪ebé	t̪ebé	t e b !é/e		Urarina	0			
4031	Wampis	salt	wee	wee	w e e		Chicham	0			
4156	Yagua	salt	tiwi	tiwi	t i w i		Peba-Yagua	0			
4359	Yanesha	salt	pos	pos	p o s		Arawakan	0			
4564	Zaparo	salt	ichahwa	ichahwa	i tʃ a hʷ a		Zaparoan	0			
121	Iquito	sand	kakuti	kakuti	k a k u t i	sand	Zaparoan	0			
248	Ocaina	sand	ʤíõõʔĩ	ʤíõõʔĩ	dʒ !í/i !õõ/oː ʔ !ĩ/i		Huitotoan	0			
484	Resigaro	sand	koβééʔkoβéʔʤíhú	koβééʔkoβéʔʤíhú	k o β !éé/eː ʔ k o β !é/e ʔ dʒ !í/i h !ú/u		Arawakan	0			
664	WitotoMinica	sand	gúamae	gúamae	g !ú/u a m a e		Huitotoan	0			
882	WitotoMurui	sand	koniʤɯe	koniʤɯe	k o n i dʒ ɯ e		Huitotoan	0			
1086	WitotoNipode	sand	kóniʤɯe	kóniʤɯe	k !ó/o n i dʒ ɯ e		Huitotoan	0			
1340	Aguaruna	sand	kaamatak	kaamatak	k aː m a t a k		Chicham	0			
1473	Arabela	sand	j̃aakwia	j̃aakwia	!h̃/h aː k i a		Zaparoan	0			
1589	Candoshi-Shapra	sand	maʂatʃi	maʂatʃi	m a ʂ a tʃ i		Candoshi-Shapra	0			
1711	Chayahuita	sand	inotɨʔ	inotɨʔ	i n o t ɨ ʔ		Cahuapanan	0			
1834	Muniche	sand	smaʔsa	smaʔsa	s m a ʔ s a		Muniche	0			
1944	Taushiro	sand	hɨiɲuntuʔ	hɨiɲuntuʔ	h ɨ i ɲ u n t u ʔ		Taushiro	0			
2053	Waorani	sand	ẽbõdai	ẽbõdai	!ẽ/e b !õ/o d a i		Waorani	0			
2188	Proto-Bora-Muinane	sand	ngai-jɨʔai	ngai-jɨʔai	n g a i + j ɨ ʔ a i			0			
2189	Bora	sand	nékʷa-jɯ́ɯ́ʔa	nékʷa-jɯ́ɯ́ʔa	n !é/e kʷ a + j !ɯ́/ɯ !ɯ́/ɯ ʔ a		Boran	0			
2190	Muinane	sand	híínɨgai-jɨʔai	híínɨgai-jɨʔai	h !í/i !í/i n ɨ g a i + j ɨ ʔ a i		Boran	0			
2683	AchuarShiwiar	sand	yayákim	yayákim	j a j !á/a k i m	Phonological alternation: nayákim,yáikim	Chicham	0			
2846	Canichana	sand	melchiga	melchiga	m e l tʃ i g a		Canichana	0			
3117	Pebas	sand	tencha	tencha	t e n tʃ a	Martius: sabulum	Peba-Yagua	0			
3300	Shiwilu	sand	dellu’tek	dellu’tek	ð ə ʎ u ʔ tˀ ə k		Cahuapanan	0			
3731	Urarina	sand	kaɹ̺en̪ẽ́	kaɹ̺en̪ẽ́	k a ɹ e n !̪ẽ́/e		Urarina	0			
4033	Wampis	sand	yaikim	yaikim	j a i k i m		Chicham	0			
4141	Yagua	sand	ti̠cha̠	ti̠cha̠	t !i̠/i tʃ !a̠/a		Peba-Yagua	0			
4344	Yanesha	sand	mʷeɲ	mʷeɲ	mʷ e ɲ		Arawakan	0			
4565	Zaparo	sand	ayawhwa	ayawhwa	a j au hʷ a		Zaparoan	0			
122	Iquito	say	aríini	aríini	a r !íi/iː n i	say	Zaparoan	0			
257	Ocaina	say	ɯ̃ɯ̃	ɯ̃ɯ̃	!ɯ̃ɯ̃/ɯɯ		Huitotoan	0			
258	Ocaina	say	ãã	ãã	!ãã/aː		Huitotoan	0			
550	Resigaro	say	kemú	kemú	k e m !ú/u		Arawakan	0			
746	WitotoMinica	say	dáɯde	dáɯde	d !á/a ɯ d e		Huitotoan	0			
960	WitotoMurui	say	raite	raite	r ai t e		Huitotoan	0			
1165	WitotoNipode	say	dáɯde	dáɯde	d !á/a ɯ d e		Huitotoan	0			
1341	Aguaruna	say	ɨtʃɨhut	ɨtʃɨhut	ɨ tʃ ɨ h ʊ t		Chicham	0			
1474	Arabela	say	sekwenu	sekwenu	s e k e n u		Zaparoan	0			
1590	Candoshi-Shapra	say	taamaama	taamaama	t aː m aː m a		Candoshi-Shapra	0			
1712	Chayahuita	say	itɨɾin	itɨɾin	i t ɨ ɾ i n		Cahuapanan	0			
1835	Muniche	say	tʃa	tʃa	tʃ a		Muniche	0			
2054	Waorani	say	ã	ã	!ã/a		Waorani	0			
2367	Proto-Bora-Muinane	say	hɨɨbgo	hɨɨbgo	h ɨ ɨ b g o			0			
2368	Proto-Bora-Muinane	say	noo	noo	n o o			0			
2369	Bora	say	ɯɯpáʧe	ɯɯpáʧe	ɯ ɯ p !á/a tʃ e		Boran	0			
2370	Bora	say	neé	neé	n e !é/e		Boran	0			
2371	Muinane	say	hɨ́ɨ́bege-ʔi	hɨ́ɨ́bege-ʔi	h !ɨ́/ɨ !ɨ́/ɨ b e g e + ʔ i		Boran	0			
2372	Muinane	say	néé-ʔi	néé-ʔi	n !é/e !é/e + ʔ i		Boran	0			
2684	AchuarShiwiar	say	títin	títin	t !í/i t i n		Chicham	0			
2847	Canichana	say	en-assi	en-assi	e n + a s s i	en = 2SG	Canichana	0			
3301	Shiwilu	say	tapalli	tapalli	t a p a ʎ i		Cahuapanan	0			
3481	Shuar	say	chichá-s	chichá-s	tʃ i tʃ !á/a + s		Chicham	0			
3789	Urarina	say	ait̪un̪ã́	ait̪un̪ã́	a i t u n !̪ã́/a		Urarina	0			
4021	Wampis	say	chichat	chichat	tʃ i tʃ a t		Chicham	0			
4396	Yanesha	say	oteɲets	oteɲets	o t e ɲ e ts		Arawakan	0			
4566	Zaparo	say	atinyu	atinyu	a t i ɲ u		Zaparoan	0			
388	Ocaina	sea (ocean)	maan̥ɯ	maan̥ɯ	m aː n̥ ɯ		Huitotoan	0			
565	Resigaro	sea (ocean)	témooú	témooú	t !é/e m oː !ú/u		Arawakan	0			
771	WitotoMinica	sea (ocean)	monáiʤahi	monáiʤahi	m o n !á/a i dʒ a h i		Huitotoan	0			
980	WitotoMurui	sea (ocean)	monaiʤai	monaiʤai	m o n ai dʒ ai		Huitotoan	0			
1184	WitotoNipode	sea (ocean)	monáiʤai	monáiʤai	m o n !á/a i dʒ a i		Huitotoan	0			
1342	Aguaruna	sea (ocean)	najants	najants	n a j a n ts		Chicham	0			
1713	Chayahuita	sea (ocean)	maɾɨ	maɾɨ	m a ɾ ɨ		Cahuapanan	0			
1836	Muniche	sea (ocean)	kotʃa	kotʃa	k o tʃ a		Muniche	0			
2412	Proto-Bora-Muinane	sea (ocean)	muuai	muuai	m u u a i			0			
2413	Bora	sea (ocean)	moóa	moóa	m o !ó/o a		Boran	0			
2414	Muinane	sea (ocean)	múúai	múúai	m !ú/u !ú/u a i		Boran	0			
2686	AchuarShiwiar	sea (ocean)	jũũn éntsa	jũũn éntsa	h !ũũ/uː n + !é/ɨ n ts a		Chicham	0			
2944	Juri	sea (ocean)	nada-tii	nada-tii	n a d a + t i i	Martius: mare	Ticuna-Yuri	0			
3057	Coeruna	sea (ocean)	páasĕ	páasĕ	p !á/a a s !ĕ/e	Martius: mare	Huitotoan	0			
3153	MiranhaCarapana-Tapuya	sea (ocean)	nanzúmănĭ	nanzúmănĭ	n a n z !ú/u m !ă/a n !ĭ/i	Martius: mare	Huitotoan	0			
3303	Shiwilu	sea (ocean)	kupin-sennan	kupin-sennan	k u p i n + s ə n n a n		Cahuapanan	0			
3483	Shuar	sea (ocean)	nayants	nayants	n a j a n ts		Chicham	0			
3840	Urarina	sea (ocean)	kɨʰkᶭan̪á	kɨʰkᶭan̪á	k !ɨʰ/ɨ̤ k ɰ a n !̪á/a		Urarina	0			
4030	Wampis	sea (ocean)	nayantsa	nayantsa	n a j a n ts a		Chicham	0			
4335	Yanesha	sea (ocean)	sap	sap	s a p		Arawakan	0			
124	Iquito	see	nikíini	nikíini	n i k !íi/iː n i	see	Zaparoan	0			
347	Ocaina	see	xaa	xaa	x aː		Huitotoan	0			
539	Resigaro	see	tsʰéní	tsʰéní	tsʰ !é/e n !í/i		Arawakan	0			
734	WitotoMinica	see	eróide	eróide	e !r/ɾ !ó/o i d e		Huitotoan	0			
735	WitotoMinica	see	kɯóde	kɯóde	k ɯ !ó/o d e		Huitotoan	0			
947	WitotoMurui	see	kɯode	kɯode	k ɯ o d e		Huitotoan	0			
1153	WitotoNipode	see	eróide	eróide	e !r/ɾ !ó/o i d e		Huitotoan	0			
1154	WitotoNipode	see	kɯóde	kɯóde	k ɯ !ó/o d e		Huitotoan	0			
1343	Aguaruna	see	wainat	wainat	w ɛi n a t		Chicham	0			
1475	Arabela	see	nikwiniu	nikwiniu	n i k i n i u		Zaparoan	0			
1591	Candoshi-Shapra	see	pamaama	pamaama	p a m aː m a		Candoshi-Shapra	0			
1714	Chayahuita	see	niʔnin	niʔnin	n i ʔ n i n		Cahuapanan	0			
1837	Muniche	see	ɲa	ɲa	ɲ a		Muniche	0			
2055	Waorani	see	a	a	a		Waorani	0			
2334	Proto-Bora-Muinane	see	aittɨme	aittɨme	a i t t ɨ m e			0			
2335	Bora	see	ahtʰʲɯ́mɨ	ahtʰʲɯ́mɨ	a h tʰʲ !ɯ́/ɯ m ɨ		Boran	0			
2336	Muinane	see	áttʲɨ́me-	áttʲɨ́me-	!á/a t tʲ !ɨ́/ɨ m e		Boran	0			
2687	AchuarShiwiar	see	jíistin	jíistin	h !íi/iː s t i n	Because of order of the entries and examples around it: wáinkatin	Chicham	0			
2848	Canichana	see	au-xar-coivoe	au-xar-coivoe	a u + h a ɾ + k o i v o e	au = 1SG	Canichana	0			
3007	Juri	see	tschan igó	tschan igó	dʒ a n + i g !ó/o	Martius: video	Ticuna-Yuri	0			
3008	Juri	see	schau-wiraku	schau-wiraku	ʒ a u + w i ɾ a k u	Martius: video	Ticuna-Yuri	0			
3085	Coeruna	see	jarecotiá	jarecotiá	h a ɾ e k o t i !á/a	Martius: video	Huitotoan	0			
3182	MiranhaCarapana-Tapuya	see	gihganá	gihganá	g i ʔ g a n !á/a	Martius: video	Huitotoan	0			
3304	Shiwilu	see	lli’apalli	lli’apalli	ʎ i ʔ a p a ʎ i		Cahuapanan	0			
3484	Shuar	see	íim-sa	íim-sa	!íi/iː m + s a	Because or order of the entries, here is the variant: íi-s	Chicham	0			
3716	Urarina	see	kuad̺aá	kuad̺aá	k u a d a !á/a		Urarina	0			
3983	Wampis	see	iit	iit	i i t		Chicham	0			
4183	Yagua	see	yanu	yanu	j a n u		Peba-Yagua	0			
4388	Yanesha	see	enteɲets	enteɲets	e n t e ɲ e ts		Arawakan	0			
4568	Zaparo	see	nukinyu	nukinyu	n u k i ɲ u		Zaparoan	0			
125	Iquito	seed	íniijaa	íniijaa	!í/i n iː h aː	seed (plural)	Zaparoan	0			
268	Ocaina	seed	naβiiɲ̥i	naβiiɲ̥i	n a β iː ɲ̥ i		Huitotoan	0			
496	Resigaro	seed	hímiú	hímiú	h !í/i m i !ú/u		Arawakan	0			
677	WitotoMinica	seed	íhɯ	íhɯ	!í/i h ɯ		Huitotoan	0			
895	WitotoMurui	seed	ido	ido	i d o		Huitotoan	0			
1103	WitotoNipode	seed	íhɯ	íhɯ	!í/i h ɯ		Huitotoan	0			
1344	Aguaruna	seed	ahakɨ	ahakɨ	a h a k ɨ		Chicham	0			
1476	Arabela	seed	j̃aj̃au	j̃aj̃au	!h̃/h a !h̃/h a u		Zaparoan	0			
1592	Candoshi-Shapra	seed	watʃo	watʃo	w a tʃ o		Candoshi-Shapra	0			
1715	Chayahuita	seed	yaʔpiɾin	yaʔpiɾin	j a ʔ p i ɾ i n		Cahuapanan	0			
1838	Muniche	seed	tʃaʔpɨɾa	tʃaʔpɨɾa	tʃ a ʔ p ɨ ɾ a		Muniche	0			
1945	Taushiro	seed	hiʔ	hiʔ	h i ʔ		Taushiro	0			
2056	Waorani	seed	tõbẽbõ	tõbẽbõ	t !õ/o b !ẽ/e b !õ/o		Waorani	0			
2215	Proto-Bora-Muinane	seed	batʦu-	batʦu-	b a t ts u			0			
2216	Bora	seed	pahʦʰó-kʷa	pahʦʰó-kʷa	p a h tsʰ !ó/o + kʷ a		Boran	0			
2217	Muinane	seed	basú-ta	basú-ta	b a s !ú/u + t a		Boran	0			
2688	AchuarShiwiar	seed	jingkiájĩ	jingkiájĩ	h i ŋ kʲ a h !ĩ/i		Chicham	0			
3305	Shiwilu	seed	lada	lada	l a ð a		Cahuapanan	0			
3837	Urarina	seed	n̪ũʰkɨᶭɨ́	n̪ũʰkɨᶭɨ́	n !̪ũʰ/ṳ k !ɨᶭ/ɨ !ɨ́/ɨ		Urarina	0			
3941	Wampis	seed	jinkai	jinkai	h i n k a i		Chicham	0			
4128	Yagua	seed	rasï	rasï	r a s !ï/i		Peba-Yagua	0			
4323	Yanesha	seed	poepoeɾe / poeɾet͡s	poepoeɾe	p o e p o e ɾ e		Arawakan	0			
4324	Yanesha	seed	poepoeɾe / poeɾet͡s	poeɾet͡s	p o e ɾ e ts		Arawakan	0			
4569	Zaparo	seed	tuicha	tuicha	t u i tʃ a		Zaparoan	0			
127	Iquito	sharp (as knife)	kuukwana	kuukwana	k uː kʷ a n a	sharp	Zaparoan	0			
588	Resigaro	sharp (as knife)	tsóʔβiiʔ tsú	tsóʔβiiʔ tsú	td !ó/o ʔ β iː ʔ + td !ú/u		Arawakan	0			
800	WitotoMinica	sharp (as knife)	háirede	háirede	h !á/a i !r/ɾ e d e		Huitotoan	0			
1007	WitotoMurui	sharp (as knife)	hairede	hairede	h ai r e d e		Huitotoan	0			
1212	WitotoNipode	sharp (as knife)	haírede	haírede	h a !í/i !r/ɾ e d e		Huitotoan	0			
1345	Aguaruna	sharp (as knife)	ɨtsakamu	ɨtsakamu	ɨ ts a k a m ʊ		Chicham	0			
1477	Arabela	sharp (as knife)	ɾakotasano	ɾakotasano	ɾ a k o t a s a n o		Zaparoan	0			
1839	Muniche	sharp (as knife)	sɨni	sɨni	s ɨ n i		Muniche	0			
2057	Waorani	sharp (as knife)	waẽga	waẽga	w a !ẽ/e g a		Waorani	0			
2460	Proto-Bora-Muinane	sharp (as knife)	ʦɨɨhe-βa	ʦɨɨhe-βa	ts ɨ ɨ h e + β a			0			
2461	Bora	sharp (as knife)	ʦʰɯ́ʔhɨ-βá-ne	ʦʰɯ́ʔhɨ-βá-ne	tsʰ !ɯ́/ɯ ʔ h ɨ + β !á/a + n e		Boran	0			
2462	Muinane	sharp (as knife)	sɨ́ɨ́héβano	sɨ́ɨ́héβano	s !ɨ́/ɨ !ɨ́/ɨ h !é/e β a n o		Boran	0			
2690	AchuarShiwiar	sharp (as knife)	ére	ére	!é/ɨ r ɨ	Because of order of the entries: tsákamu	Chicham	0			
3307	Shiwilu	sharp (as knife)	denshipa’	denshipa’	ð ə n ʃ i p a ʔ		Cahuapanan	0			
3486	Shuar	sharp (as knife)	atsákamu	atsákamu	a ts !á/a k a m u		Chicham	0			
3796	Urarina	sharp (as knife)	ahĩjãt̪í	ahĩjãt̪í	a h !ĩ/i j !ã/a t !̪í/i		Urarina	0			
4062	Wampis	sharp (as knife)	tsakatskatu	tsakatskatu	ts a k a ts k a t u		Chicham	0			
4429	Yanesha	sharp (as knife)	et͡sötaɲ	et͡sötaɲ	e ts !ö/o t a ɲ		Arawakan	0			
128	Iquito	short	takínuurika	takínuurika	t a k !í/i n uː r i k a	short	Zaparoan	0			
411	Ocaina	short	ĩhã́hɯ̃	ĩhã́hɯ̃	!ĩ/i h !ã́/a h !ɯ̃/ɯ		Huitotoan	0			
585	Resigaro	short	matsʰóʔ	matsʰóʔ	m a tsʰ !ó/o ʔ		Arawakan	0			
797	WitotoMinica	short	íanori	íanori	!í/i a n o !r/ɾ i		Huitotoan	0			
1004	WitotoMurui	short	ianoride	ianoride	i a n o r i d e		Huitotoan	0			
1209	WitotoNipode	short	iánoride	iánoride	i !á/a n o !r/ɾ i d e		Huitotoan	0			
1346	Aguaruna	short	sutag	sutag	s ʊ t a ŋ		Chicham	0			
