Doculect A	Doculect B	Concept	Form A	Form B	Cogid	Distance from Identity Score	Levenshtein Distance	Bigram Distance	Trigram Distance	Combined Distance	Same Family?
WitotoMinica	WitotoNipode	fire	i ɾ ai	i ɾ a i k ɯ	656	0.6	0.6666666666666666	0.5833333333333334	0.5714285714285714	0.6053571428571429	yes
WitotoMinica	WitotoMurui	ashes	h i θ e ɸ o	h u θ e ɸ o	65	0.43999999999999995	0.16666666666666666	0.16666666666666666	0.14285714285714285	0.229047619047619	yes
WitotoMinica	WitotoMurui	smoke (of fire)	u i dʒ ɯ e	ui dʒ ɯ e	1876	0.56	0.4	0.4	0.3888888888888889	0.43722222222222223	yes
WitotoMinica	WitotoNipode	smoke (of fire)	u i dʒ ɯ e	u i dʒ ɯ e	1876	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	Ocaina	sky	m o n a	b ɯ m̥ o ɲ̥ a	1814	0.64	0.6666666666666666	0.6666666666666666	0.619047619047619	0.6480952380952381	yes
WitotoMinica	Ocaina	sky	m o n a	x ɯ tʲ a m oː ɲ̥ a	1814	0.64	0.75	0.8125	0.7407407407407407	0.7358101851851853	yes
WitotoMinica	WitotoMurui	sky	m o n a	m o n a	1814	0.28	0.0	0.0	0.0	0.07	yes
WitotoMinica	WitotoNipode	sky	m o n a	m o n a	1814	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoMurui	wind	h ai ɾ i ɸ o	h ai r i ɸ o	3147	0.4	0.16666666666666666	0.16666666666666666	0.14285714285714285	0.21904761904761905	yes
WitotoMinica	WitotoNipode	wind	h ai ɾ i ɸ o	h ai ɾ i p oɯ	3147	0.48	0.3333333333333333	0.25	0.23809523809523808	0.32535714285714284	yes
WitotoMinica	WitotoMurui	sun	h i t o m a	h i t o m a	2026	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	sun	h i t o m a	h i ɗ o m a	2026	0.4	0.16666666666666666	0.16666666666666666	0.14285714285714285	0.21904761904761905	yes
WitotoMinica	WitotoMurui	star	u k u d u	u k u d u	1940	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	star	u k u d u	u k u d o	1940	0.43999999999999995	0.2	0.1	0.05555555555555555	0.19888888888888887	yes
WitotoMinica	MiranhaCarapana-Tapuya	star	u k u d u	i k o dz o	1940	0.52	0.8	0.7	0.611111111111111	0.6577777777777778	yes
WitotoMinica	Ocaina	day (opposite of night rather than time measure)	m o n a	m oː ɲ̥ a	348	0.4	0.5	0.5	0.39999999999999997	0.44999999999999996	yes
WitotoMinica	Ocaina	day (opposite of night rather than time measure)	m o n a	m o ɲ̥ a m o	348	0.6	0.5	0.5	0.47619047619047616	0.5190476190476191	yes
WitotoMinica	WitotoMurui	day (opposite of night rather than time measure)	m o n a	a r e m o n a	348	0.6	0.42857142857142855	0.5	0.4583333333333333	0.49672619047619043	yes
WitotoMinica	WitotoNipode	day (opposite of night rather than time measure)	m o n a	m o n a	348	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	Ocaina	night	n a ɯː o	n a tʲ o	1369	0.6	0.25	0.25	0.2	0.325	yes
WitotoMinica	WitotoMinica	night	n a ɯː o	n a ɯ o	1369	0.24	0.25	0.25	0.2	0.235	yes
WitotoMinica	WitotoMurui	night	n a ɯː o	n aɯ o	1369	0.6	0.5	0.5	0.4666666666666667	0.5166666666666667	yes
WitotoMinica	WitotoMurui	night	n a ɯː o	n aɯ o n a	1369	0.6	0.8	0.6	0.5	0.625	yes
WitotoMinica	WitotoNipode	night	n a ɯː o	n a ɯː o	1369	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	Ocaina	night	n a ɯ o	n a tʲ o	1369	0.6	0.25	0.25	0.2	0.325	yes
WitotoMinica	WitotoMinica	night	n a ɯ o	n a ɯː o	1369	0.24	0.25	0.25	0.2	0.235	yes
WitotoMinica	WitotoMurui	night	n a ɯ o	n aɯ o	1369	0.56	0.5	0.5	0.4666666666666667	0.5066666666666667	yes
WitotoMinica	WitotoMurui	night	n a ɯ o	n aɯ o n a	1369	0.6	0.8	0.6	0.5	0.625	yes
WitotoMinica	WitotoNipode	night	n a ɯ o	n a ɯː o	1369	0.4	0.25	0.25	0.2	0.275	yes
WitotoMinica	WitotoMurui	earth (soil)	e n ɯ e	e n ɯ r u e	493	0.6	0.3333333333333333	0.4166666666666667	0.38095238095238093	0.43273809523809526	yes
WitotoMinica	WitotoNipode	earth (soil)	e n ɯ e	e n ɯ e	493	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoMurui	stone	n o ɸ ɯ k ɯ	n o ɸ ɯ k ɯ	1985	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoNipode	stone	n o ɸ ɯ k ɯ	n o p ɯ k ɯ	1985	0.48	0.16666666666666666	0.16666666666666666	0.14285714285714285	0.239047619047619	yes
WitotoMinica	Ocaina	dog	h ɯ k o	h o ʔ x o	390	0.6	0.6	0.6	0.5	0.575	yes
WitotoMinica	WitotoMurui	dog	h ɯ k o	h ɯ k o	390	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	dog	h ɯ k o	h ɯ k o	390	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoNipode	tail	o d a	o d a	2044	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoMurui	snake	h a i o	h ai o	1910	0.56	0.5	0.5	0.4666666666666667	0.5066666666666667	yes
WitotoMinica	WitotoNipode	snake	h a i o	h a i o	1910	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoMinica	bird	o ɸ o k ui ɲ o	dʒ a m ai k ui ɲ o	223	0.48	0.5	0.5	0.4444444444444444	0.4811111111111111	yes
WitotoMinica	WitotoMurui	bird	o ɸ o k ui ɲ o	o ɸ o k ui ɲ o	223	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoMinica	bird	dʒ a m ai k ui ɲ o	o ɸ o k ui ɲ o	223	0.48	0.5	0.5	0.4444444444444444	0.4811111111111111	yes
WitotoMinica	WitotoMurui	bird	dʒ a m ai k ui ɲ o	o ɸ o k ui ɲ o	223	0.6	0.5	0.5	0.4444444444444444	0.5111111111111111	yes
WitotoMinica	WitotoMurui	fish	dʒ ɯ k ɯ aɯ	dʒ ɯ k ɯ aɯ	675	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoMurui	louse	ɯ b o m a	ɯ b o m a	1158	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	louse	ɯ b o m a	ɯ b o m a	1158	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	Ocaina	tree	a m e n a	a m̥ ɯɯ ɲ̥ a	2913	0.43999999999999995	0.6	0.6	0.5	0.535	yes
WitotoMinica	WitotoMurui	tree	a m e n a	a m e n a	2913	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	tree	a m e n a	a m e n a	2913	0.19999999999999996	0.0	0.0	0.0	0.04999999999999999	yes
WitotoMinica	Andoa	tree	a m e n a	a m a k a	2913	0.6	0.4	0.4	0.3333333333333333	0.4333333333333333	no
WitotoMinica	WitotoMurui	leaf	iː b e	i b e	1072	0.4	0.3333333333333333	0.3333333333333333	0.25	0.32916666666666666	yes
WitotoMinica	WitotoNipode	leaf	iː b e	ɾ a b e	1072	0.6	0.5	0.5	0.4666666666666667	0.5166666666666667	yes
WitotoMinica	WitotoMurui	flower	θ a ɸ i a	θ a ɸ i a	705	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	flower	θ a ɸ i a	t a p i a	705	0.48	0.4	0.4	0.3333333333333333	0.4033333333333333	yes
WitotoMinica	Candoshi-Shapra	flower	θ a ɸ i a	tʃ a p o	705	0.6799999999999999	0.8	0.7	0.611111111111111	0.6977777777777777	no
WitotoMinica	WitotoMurui	to rub	ɾ i a	r i a r a	2620	0.6	0.6	0.6	0.5555555555555555	0.5888888888888888	yes
WitotoMinica	WitotoNipode	to rub	ɾ i a	ɾ i a	2620	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoMurui	root	h a i n a o	h ai n a o	1595	0.56	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.38999999999999996	yes
WitotoMinica	WitotoNipode	root	h a i n a o	h a i n a o	1595	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoNipode	seed	i h ɯ	i h ɯ	1738	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoMinica	stick (of wood)	ɾ a d a	ɾ a d o θ i	1956	0.48	0.5	0.4166666666666667	0.38095238095238093	0.4444047619047619	yes
WitotoMinica	WitotoMurui	stick (of wood)	ɾ a d a	r a d a	1956	0.4	0.25	0.25	0.2	0.275	yes
WitotoMinica	WitotoMurui	stick (of wood)	ɾ a d a	r a d o θ i	1956	0.6	0.6666666666666666	0.5833333333333334	0.5238095238095238	0.593452380952381	yes
WitotoMinica	WitotoNipode	stick (of wood)	ɾ a d a	ɾ a d a	1956	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoNipode	stick (of wood)	ɾ a d a	ɾ a d o t i	1956	0.6	0.5	0.4166666666666667	0.38095238095238093	0.47440476190476194	yes
WitotoMinica	Chibito	stick (of wood)	ɾ a d a	m i tʃ	1956	0.72	1.0	0.875	0.7333333333333333	0.8320833333333333	no
WitotoMinica	WitotoMinica	stick (of wood)	ɾ a d o θ i	ɾ a d a	1956	0.48	0.5	0.4166666666666667	0.4285714285714285	0.45630952380952383	yes
WitotoMinica	WitotoMurui	stick (of wood)	ɾ a d o θ i	r a d a	1956	0.6	0.6666666666666666	0.5833333333333334	0.5714285714285714	0.6053571428571429	yes
WitotoMinica	WitotoMurui	stick (of wood)	ɾ a d o θ i	r a d o θ i	1956	0.4	0.16666666666666666	0.16666666666666666	0.14285714285714285	0.21904761904761905	yes
WitotoMinica	WitotoNipode	stick (of wood)	ɾ a d o θ i	ɾ a d a	1956	0.6	0.5	0.4166666666666667	0.4285714285714285	0.48630952380952386	yes
WitotoMinica	WitotoNipode	stick (of wood)	ɾ a d o θ i	ɾ a d o t i	1956	0.48	0.16666666666666666	0.16666666666666666	0.14285714285714285	0.239047619047619	yes
WitotoMinica	Chibito	stick (of wood)	ɾ a d o θ i	m i tʃ	1956	0.72	1.0	0.8333333333333334	0.7142857142857143	0.8169047619047619	no
WitotoMinica	Ocaina	stick (of wood)	a m e n a	a m̥ ɯɯ ɲ̥ a	1969	0.43999999999999995	0.6	0.6	0.5	0.535	yes
WitotoMinica	WitotoMurui	stick (of wood)	a m e n a	a m e n a	1969	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	grass	ɾ a i t ɯ aɯ	ɾ a i ɗ ɯ aɯ	816	0.4	0.16666666666666666	0.16666666666666666	0.14285714285714285	0.21904761904761905	yes
WitotoMinica	WitotoMurui	feather (larger feathers rather than down)	oː g o d o	oː g o d o	608	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	feather (larger feathers rather than down)	oː g o d o	oː g o d o	608	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoMurui	salt	ɯ ai θ aɯ	ɯ ai θ aɯ	1643	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	salt	ɯ ai θ aɯ	ɯ ai t aɯ	1643	0.48	0.25	0.25	0.2	0.295	yes
WitotoMinica	Ocaina	one	d a	tʲ a	1446	0.4	0.5	0.5	0.3333333333333333	0.4333333333333333	yes
WitotoMinica	WitotoMinica	one	d a	d aː	1446	0.24	0.5	0.25	0.2222222222222222	0.3030555555555555	yes
WitotoMinica	WitotoMurui	one	d a	d a h e	1446	0.6	0.5	0.5	0.4666666666666666	0.5166666666666667	yes
WitotoMinica	WitotoMurui	one	d a	d a e	1446	0.6	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.39999999999999997	yes
WitotoMinica	WitotoNipode	one	d a	d a	1446	0.19999999999999996	0.0	0.0	0.0	0.04999999999999999	yes
WitotoMinica	Chibito	one	d a	e ts i	1446	0.72	1.0	0.8333333333333334	0.6666666666666666	0.8049999999999999	no
WitotoMinica	Ocaina	one	d aː	tʲ a	1446	0.4	1.0	0.75	0.5555555555555555	0.6763888888888888	yes
WitotoMinica	WitotoMinica	one	d aː	d a	1446	0.24	0.5	0.25	0.2222222222222222	0.3030555555555555	yes
WitotoMinica	WitotoMurui	one	d aː	d a h e	1446	0.6	0.75	0.625	0.5999999999999999	0.64375	yes
WitotoMinica	WitotoMurui	one	d aː	d a e	1446	0.6	0.6666666666666666	0.5	0.5	0.5666666666666667	yes
WitotoMinica	WitotoNipode	one	d aː	d a	1446	0.43999999999999995	0.5	0.25	0.2222222222222222	0.35305555555555557	yes
WitotoMinica	Chibito	one	d aː	e ts i	1446	0.72	1.0	0.8333333333333334	0.6666666666666666	0.8049999999999999	no
WitotoMinica	WitotoMurui	two	m e n a	m e n a	2947	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	two	m e n a	m e n a	2947	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoMurui	four	n a g a + a m a d e	n a g a + a m a g a	774	0.48	0.2	0.15	0.1515151515151515	0.24537878787878786	yes
WitotoMinica	WitotoNipode	four	ɸ ɯ g o m e n a ɾ i e d e	p ɯ g o m e n a ɾ i e	775	0.6	0.23076923076923078	0.23076923076923078	0.23809523809523808	0.3249084249084249	yes
WitotoMinica	WitotoMurui	five	h u b e k ui ɾ o	d a b e k ui r o	696	0.48	0.375	0.375	0.3333333333333333	0.3908333333333333	yes
WitotoMinica	Iquito	I	k u e	k i	2	0.72	0.6666666666666666	0.5	0.5	0.5966666666666667	no
WitotoMinica	Ocaina	I	k u e	x o	2	0.6	1.0	0.8333333333333334	0.6666666666666666	0.775	yes
WitotoMinica	Ocaina	I	k u e	x o ɯ	2	0.48	1.0	0.8333333333333334	0.6666666666666666	0.745	yes
WitotoMinica	WitotoMurui	I	k u e	k u e	2	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	I	k u e	k u e	2	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	Arabela	I	k u e	k ua	2	0.6799999999999999	0.6666666666666666	0.5	0.5	0.5866666666666667	no
WitotoMinica	Chayahuita	I	k u e	k a	2	0.6799999999999999	0.6666666666666666	0.5	0.5	0.5866666666666667	no
WitotoMinica	Andoa	I	k u e	k i h a	2	0.6799999999999999	0.75	0.625	0.5333333333333333	0.6470833333333332	no
WitotoMinica	MiranhaCarapana-Tapuya	I	k u e	k u i	2	0.48	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.2866666666666666	yes
WitotoMinica	Shiwilu	I	k u e	kʷ a	2	0.72	1.0	0.8333333333333334	0.6666666666666666	0.8049999999999999	no
WitotoMinica	Urarina	I	k u e	k a n ɨ	2	0.6799999999999999	0.75	0.625	0.5333333333333333	0.6470833333333332	no
WitotoMinica	Zaparo	I	k u e	kʷ i hʲ a	2	0.6799999999999999	1.0	0.875	0.7333333333333333	0.8220833333333333	no
WitotoMinica	Ocaina	thou	o	o	2150	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	Ocaina	thou	o	o ɯ	2150	0.6	0.5	0.5	0.3333333333333333	0.48333333333333334	yes
WitotoMinica	Ocaina	thou	o	o	2150	0.19999999999999996	0.0	0.0	0.0	0.04999999999999999	yes
WitotoMinica	WitotoMurui	thou	o	o	2150	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoNipode	thou	o	o	2150	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	Ocaina	he	a ɸ e m ɯ e	a ʔ iː m̥ a	894	0.6	0.8333333333333334	0.75	0.6666666666666667	0.7125000000000001	yes
WitotoMinica	Ocaina	he	a ɸ e m ɯ e	ɯː m̥ a	894	0.6	1.0	0.9166666666666666	0.7619047619047619	0.8196428571428571	yes
WitotoMinica	WitotoMurui	he	a ɸ e m ɯ e	i m ɯ e	894	0.6	0.5	0.5	0.47619047619047616	0.5190476190476191	yes
WitotoMinica	WitotoNipode	he	a ɸ e m ɯ e	a p e m a	894	0.6	0.5	0.4166666666666667	0.4285714285714285	0.48630952380952386	yes
WitotoMinica	Iquito	we	k aɯ	k a n a	2985	0.6799999999999999	0.75	0.625	0.5999999999999999	0.6637499999999998	no
WitotoMinica	WitotoMinica	we	k aɯ	k a ɯ ŋ aɯ	2985	0.48	0.6	0.7	0.611111111111111	0.5977777777777777	yes
WitotoMinica	WitotoMurui	we	k aɯ	k aɯ	2985	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoMurui	we	k aɯ	k ai ɲ aɯ	2985	0.6	0.5	0.625	0.5333333333333333	0.5645833333333333	yes
WitotoMinica	WitotoNipode	we	k aɯ	k aɯ	2985	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	Zaparo	we	k aɯ	k a n a h a	2985	0.72	0.8333333333333334	0.75	0.7142857142857143	0.7544047619047619	no
WitotoMinica	Ocaina	we	k o k o	x o x o	2997	0.48	0.5	0.5	0.39999999999999997	0.47	yes
WitotoMinica	Ocaina	we	k o k o	x a k a	2997	0.48	0.75	0.625	0.4666666666666667	0.5804166666666667	yes
WitotoMinica	WitotoMurui	we	k o k o	k o k o	2997	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	we	k o k o	k o k o	2997	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	Iquito	we	k a ɯ ŋ aɯ	k a n a	2985	0.6799999999999999	0.6	0.5	0.4444444444444444	0.556111111111111	no
WitotoMinica	WitotoMinica	we	k a ɯ ŋ aɯ	k aɯ	2985	0.48	0.6	0.7	0.611111111111111	0.5977777777777777	yes
WitotoMinica	WitotoMurui	we	k a ɯ ŋ aɯ	k aɯ	2985	0.6	0.6	0.7	0.611111111111111	0.6277777777777778	yes
WitotoMinica	WitotoMurui	we	k a ɯ ŋ aɯ	k ai ɲ aɯ	2985	0.6	0.6	0.6	0.5	0.575	yes
WitotoMinica	WitotoNipode	we	k a ɯ ŋ aɯ	k aɯ	2985	0.6	0.6	0.7	0.611111111111111	0.6277777777777778	yes
WitotoMinica	Zaparo	we	k a ɯ ŋ aɯ	k a n a h a	2985	0.72	0.6666666666666666	0.5833333333333334	0.5238095238095238	0.623452380952381	no
WitotoMinica	WitotoMinica	ye	o m oɯ	o m ɯ k oɯ	3243	0.48	0.4	0.5	0.4444444444444444	0.4561111111111111	yes
WitotoMinica	WitotoMurui	ye	o m oɯ	o m oɯ	3243	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoMurui	ye	o m oɯ	o m ɯ k o	3243	0.6	0.6	0.5	0.49999999999999994	0.5499999999999999	yes
WitotoMinica	WitotoNipode	ye	o m oɯ	o m aɯ	3243	0.43999999999999995	0.3333333333333333	0.16666666666666666	0.16666666666666666	0.2766666666666666	yes
WitotoMinica	WitotoNipode	ye	o m oɯ	o m aɯ k o	3243	0.6	0.6	0.5	0.49999999999999994	0.5499999999999999	yes
WitotoMinica	WitotoMinica	ye	o m ɯ k oɯ	o m oɯ	3243	0.48	0.4	0.5	0.4444444444444444	0.4561111111111111	yes
WitotoMinica	WitotoMurui	ye	o m ɯ k oɯ	o m oɯ	3243	0.6	0.4	0.5	0.4444444444444444	0.4861111111111111	yes
WitotoMinica	WitotoMurui	ye	o m ɯ k oɯ	o m ɯ k o	3243	0.4	0.2	0.1	0.1111111111111111	0.20277777777777778	yes
WitotoMinica	WitotoNipode	ye	o m ɯ k oɯ	o m aɯ	3243	0.6	0.6	0.5	0.49999999999999994	0.5499999999999999	yes
WitotoMinica	WitotoNipode	ye	o m ɯ k oɯ	o m aɯ k o	3243	0.43999999999999995	0.4	0.3	0.27777777777777773	0.3544444444444444	yes
WitotoMinica	Ocaina	they	a ɸ e m a k ɯ	ɯː m̥ a	2089	0.64	0.8571428571428571	0.8571428571428571	0.7916666666666666	0.7864880952380952	yes
WitotoMinica	WitotoMinica	they	a ɸ e m a k ɯ	i ai dʒ ɯ n oɯ	2089	0.48	1.0	0.9285714285714286	0.7916666666666667	0.8000595238095238	yes
WitotoMinica	WitotoMurui	they	a ɸ e m a k ɯ	i m a k ɯ	2089	0.6	0.42857142857142855	0.42857142857142855	0.41666666666666663	0.46845238095238095	yes
WitotoMinica	WitotoMurui	they	a ɸ e m a k ɯ	i aɯ m ai aɯ	2089	0.6	0.8571428571428571	0.7857142857142857	0.7083333333333334	0.7377976190476191	yes
WitotoMinica	WitotoNipode	they	a ɸ e m a k ɯ	a p e m a k ɯ	2089	0.48	0.14285714285714285	0.14285714285714285	0.125	0.2226785714285714	yes
WitotoMinica	WitotoNipode	they	a ɸ e m a k ɯ	a p e m aɯ dʒ ɯ n oɯ	2089	0.6	0.5555555555555556	0.5555555555555556	0.5333333333333333	0.5611111111111111	yes
WitotoMinica	WitotoNipode	they	a ɸ e m a k ɯ	d a ɯ dʒ ɯ n oɯ	2089	0.6	1.0	0.8571428571428571	0.7083333333333334	0.7913690476190477	yes
WitotoMinica	Ocaina	they	i ai dʒ ɯ n oɯ	ɯː m̥ a	2089	0.64	1.0	0.9166666666666666	0.8095238095238095	0.841547619047619	yes
WitotoMinica	WitotoMinica	they	i ai dʒ ɯ n oɯ	a ɸ e m a k ɯ	2089	0.48	1.0	0.9285714285714286	0.7916666666666667	0.8000595238095238	yes
WitotoMinica	WitotoMurui	they	i ai dʒ ɯ n oɯ	i m a k ɯ	2089	0.6	0.8333333333333334	0.6666666666666666	0.619047619047619	0.6797619047619048	yes
WitotoMinica	WitotoMurui	they	i ai dʒ ɯ n oɯ	i aɯ m ai aɯ	2089	0.6	0.8333333333333334	0.75	0.619047619047619	0.7005952380952382	yes
WitotoMinica	WitotoNipode	they	i ai dʒ ɯ n oɯ	a p e m a k ɯ	2089	0.6	1.0	0.9285714285714286	0.7916666666666667	0.8300595238095239	yes
WitotoMinica	WitotoNipode	they	i ai dʒ ɯ n oɯ	a p e m aɯ dʒ ɯ n oɯ	2089	0.6	0.5555555555555556	0.5555555555555556	0.5	0.5527777777777778	yes
WitotoMinica	WitotoNipode	they	i ai dʒ ɯ n oɯ	d a ɯ dʒ ɯ n oɯ	2089	0.6	0.42857142857142855	0.42857142857142855	0.375	0.45803571428571427	yes
WitotoMinica	WitotoMurui	they	i aɯ ŋ u aɯ	i aɯ ɲ u aɯ	2094	0.4	0.2	0.2	0.16666666666666666	0.24166666666666667	yes
WitotoMinica	WitotoMurui	big	a i dʒ u e	ai dʒ u e	198	0.56	0.4	0.4	0.3888888888888889	0.43722222222222223	yes
WitotoMinica	WitotoNipode	big	a i dʒ u e	a i dʒ u e	198	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoMurui	small	h i ɯ ɾ e d e	h a n o r e d e	1858	0.64	0.5	0.5	0.4444444444444444	0.5211111111111111	yes
WitotoMinica	WitotoNipode	small	h i ɯ ɾ e d e	h i ɯ ɾ e d e	1858	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoNipode	good	ɲ u e ɾ a	ɲ u e ɾ a	795	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoNipode	bad (deleterious or unsuitable)	ɸ ɯ e n i d e	p u e n i d e	117	0.48	0.2857142857142857	0.2857142857142857	0.24999999999999997	0.32535714285714284	yes
WitotoMinica	WitotoMurui	white	u θ e ɾ e d e	u θ e r e d e	3081	0.4	0.14285714285714285	0.14285714285714285	0.125	0.20267857142857143	yes
WitotoMinica	WitotoNipode	white	u θ e ɾ e d e	u t e ɾ e d e	3081	0.48	0.14285714285714285	0.14285714285714285	0.125	0.2226785714285714	yes
WitotoMinica	WitotoMurui	black	h i t ɯ ɾ e d e	h i t ɯ r e d e	253	0.4	0.125	0.125	0.1111111111111111	0.19027777777777777	yes
WitotoMinica	WitotoNipode	black	h i t ɯ ɾ e d e	h i ɗ ɯ ɾ e d e	253	0.4	0.125	0.125	0.1111111111111111	0.19027777777777777	yes
WitotoMinica	WitotoMurui	cloud	u i dʒ ɯ e	ui dʒ ɯ e	329	0.56	0.4	0.4	0.3888888888888889	0.43722222222222223	yes
WitotoMinica	WitotoNipode	cloud	u i dʒ ɯ e	u i dʒ ɯ e	329	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	Ocaina	this	b i e	b iː	2137	0.6	0.6666666666666666	0.5	0.5	0.5666666666666667	yes
WitotoMinica	Ocaina	this	b i e	b i h a	2137	0.6	0.5	0.375	0.4	0.46875	yes
WitotoMinica	Ocaina	this	b i e	b a ʔ i	2137	0.6	0.75	0.5	0.4666666666666667	0.5791666666666667	yes
WitotoMinica	Ocaina	this	b i e	b ɯ	2137	0.64	0.6666666666666666	0.5	0.5	0.5766666666666667	yes
WitotoMinica	WitotoMurui	this	b i e	b i e	2137	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	this	b i e	b e d a	2137	0.6	0.75	0.5	0.4666666666666666	0.5791666666666667	yes
WitotoMinica	WitotoMurui	that	b ai e	b ai e	2059	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoNipode	that	b ai e	b a d a	2059	0.6	0.75	0.625	0.5333333333333333	0.6270833333333333	yes
WitotoMinica	Ocaina	who?	b u	b o	3092	0.43999999999999995	0.5	0.25	0.2222222222222222	0.35305555555555557	yes
WitotoMinica	WitotoMurui	who?	b u	b u	3092	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoNipode	who?	b u	b u	3092	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoMurui	not	d a m a + i t e	d a m a + i t e	1415	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	Ocaina	not	ɲ e	aː ɲ i	1407	0.64	0.6666666666666666	0.6666666666666666	0.49999999999999994	0.6183333333333333	yes
WitotoMinica	Ocaina	not	ɲ e	ɲ i	1407	0.43999999999999995	0.5	0.25	0.2222222222222222	0.35305555555555557	yes
WitotoMinica	Ocaina	not	ɲ e	ɲ̥ i	1407	0.43999999999999995	1.0	0.75	0.5555555555555555	0.6863888888888888	yes
WitotoMinica	Resigaro	not	ɲ e	n iː	1407	0.52	1.0	0.75	0.5555555555555555	0.7063888888888888	no
WitotoMinica	WitotoMurui	not	ɲ e	ɲ e	1407	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	WitotoNipode	not	ɲ e	ɲ e	1407	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
WitotoMinica	MiranhaCarapana-Tapuya	not	ɲ e	n a n i	1407	0.64	1.0	0.875	0.7333333333333333	0.8120833333333334	yes
WitotoMinica	Yagua	not	ɲ e	n e	1407	0.48	0.5	0.5	0.3333333333333333	0.4533333333333333	no
WitotoMinica	WitotoMurui	all (of a number)	n a n a	n a n a	27	0.24	0.0	0.0	0.0	0.06	yes
WitotoMinica	WitotoNipode	all (of a number)	n a n a	n a n a	27	0.16000000000000003	0.0	0.0	0.0	0.04000000000000001	yes
